state_ut,district,year,infanticid,other_murder,rape,kidnapping_and_abduction,foeticide,abetment_of_suicide,exposure_and_abandonment,procuration_of_minor_girls,buying_of_girls_for_prostitution,selling_of_girls_for_prostitution,prohibition_of_child_marriage_act,other_crimes,total
Uttar Pradesh,ETAWAH,2013,1,6,18,55,0,0,0,0,0,0,0,1,81
Uttar Pradesh,FAIZABAD,2013,0,11,22,94,0,0,0,0,0,0,0,0,127
Uttar Pradesh,FATEHGARH,2013,0,7,7,10,0,0,0,0,0,0,0,11,35
Uttar Pradesh,FATEHPUR,2013,0,3,27,75,0,0,0,0,0,0,0,36,141
Uttar Pradesh,FIROZABAD,2013,0,4,39,169,0,0,0,0,0,0,0,0,212
Uttar Pradesh,G.R.P.,2013,0,1,3,33,0,0,1,0,0,0,0,3,41
Uttar Pradesh,GAUTAMBUDH NAGAR,2013,0,12,8,133,1,0,0,0,0,0,0,21,175
Uttar Pradesh,GHAZIABAD,2013,1,3,14,180,4,4,0,0,0,0,0,34,240
Uttar Pradesh,GHAZIPUR,2013,0,1,13,91,2,3,0,0,0,0,0,17,127
Uttar Pradesh,GONDA,2013,0,1,14,93,0,0,0,0,0,0,0,32,140
Uttar Pradesh,GORAKHPUR,2013,0,8,21,170,0,2,0,0,0,0,0,36,237
Uttar Pradesh,HAMIRPUR,2013,0,0,15,15,0,0,0,0,0,0,0,25,55
Uttar Pradesh,HAPUR,2013,0,2,15,38,0,0,0,0,0,0,0,5,60
Uttar Pradesh,HARDOI,2013,0,1,19,130,1,7,0,0,0,0,0,17,175
Uttar Pradesh,HATHRAS,2013,0,9,21,71,0,0,0,0,0,0,0,26,127
Uttar Pradesh,JALAUN,2013,0,6,6,33,0,0,0,0,0,0,0,20,65
Uttar Pradesh,JAUNPUR,2013,0,0,53,131,0,0,0,0,0,0,0,39,223
Uttar Pradesh,JHANSI,2013,0,5,9,41,0,0,0,0,0,0,0,33,88
Uttar Pradesh,KANNAUJ,2013,0,7,12,83,0,0,0,0,0,0,0,21,123
Uttar Pradesh,KANPUR DEHAT,2013,0,11,22,74,0,0,0,0,0,0,1,1,109
Uttar Pradesh,KANPUR NAGAR,2013,0,10,19,152,0,0,0,0,0,0,0,32,213
Uttar Pradesh,KASGANJ,2013,0,3,9,70,0,0,0,0,0,0,0,10,92
Uttar Pradesh,KAUSHAMBI,2013,0,1,7,37,0,0,0,0,0,0,0,0,45
Uttar Pradesh,KHIRI,2013,0,7,23,127,0,0,0,0,0,0,0,75,232
Uttar Pradesh,KUSHI NAGAR,2013,0,6,22,117,1,0,0,0,0,0,0,77,223
Uttar Pradesh,LALITPUR,2013,0,6,6,20,0,0,0,0,0,0,0,15,47
Uttar Pradesh,LUCKNOW,2013,1,4,32,54,3,2,0,0,0,0,0,118,214
Uttar Pradesh,MAHARAJGANJ,2013,0,4,6,60,0,0,0,0,0,0,0,30,100
Uttar Pradesh,MAHOBA,2013,0,1,9,7,0,0,0,0,0,0,0,0,17
Uttar Pradesh,MAINPURI,2013,0,5,13,88,0,0,0,0,0,0,0,15,121
Uttar Pradesh,MATHURA,2013,0,11,13,44,0,0,0,0,0,0,1,6,75
Uttar Pradesh,MAU,2013,0,1,14,80,0,0,0,0,0,0,0,7,102
Uttar Pradesh,MEERUT,2013,0,28,27,115,0,0,1,0,0,0,0,63,234
Uttar Pradesh,MIRZAPUR,2013,0,2,4,6,0,0,0,0,0,0,0,2,14
Uttar Pradesh,MORADABAD,2013,0,14,30,108,1,2,1,0,0,0,0,50,206
Uttar Pradesh,MUZAFFARNAGAR,2013,0,16,20,200,0,0,0,0,0,0,0,10,246
Uttar Pradesh,PILIBHIT,2013,0,2,14,10,0,0,0,0,0,0,0,15,41
Uttar Pradesh,PRATAPGARH,2013,0,7,15,89,0,0,0,0,0,0,0,13,124
Uttar Pradesh,RAIBAREILLY,2013,0,1,22,60,0,0,0,0,0,0,0,18,101
Uttar Pradesh,RAMPUR,2013,0,6,9,9,0,2,0,0,0,0,0,7,33
Uttar Pradesh,SAHARANPUR,2013,0,13,18,38,1,0,0,0,0,0,0,49,119
Uttar Pradesh,SAMBHAL,2013,0,9,9,116,0,0,0,0,0,0,0,22,156
Uttar Pradesh,SANT KABIRNAGAR,2013,0,0,15,59,0,0,0,0,0,0,0,22,96
Uttar Pradesh,SHAHJAHANPUR,2013,0,10,11,35,0,0,0,0,0,0,0,31,87
Uttar Pradesh,SHAMLI,2013,0,4,12,51,0,0,0,0,0,0,0,4,71
Uttar Pradesh,SHRAWASTI,2013,0,1,6,28,0,0,0,0,0,0,0,5,40
Uttar Pradesh,SIDHARTHNAGAR,2013,0,1,9,54,0,0,0,0,0,0,0,20,84
Uttar Pradesh,SITAPUR,2013,0,1,52,225,1,0,0,0,0,0,0,75,354
Uttar Pradesh,SONBHADRA,2013,0,7,15,12,0,0,0,0,0,0,0,3,37
Uttar Pradesh,ST.RAVIDASNAGAR,2013,0,2,3,15,0,0,0,0,0,0,0,4,24
Uttar Pradesh,SULTANPUR,2013,0,7,15,99,0,2,0,0,0,0,0,29,152
Uttar Pradesh,UNNAO,2013,2,6,18,155,0,0,0,0,0,0,0,85,266
Uttar Pradesh,VARANASI,2013,0,1,26,134,0,0,0,0,0,0,0,31,192
Uttar Pradesh,TOTAL,2013,10,482,1381,6002,17,36,3,0,0,0,5,1921,9857
Uttarakhand,ALMORA,2013,0,0,3,0,0,0,0,0,0,0,0,1,4
Uttarakhand,BAGESHWAR,2013,0,0,0,0,0,0,0,0,0,0,0,2,2
Uttarakhand,CHAMOLI,2013,0,0,3,9,0,0,0,1,0,0,0,0,13
Uttarakhand,CHAMPAWAT,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,DEHRADUN,2013,0,2,10,115,0,0,0,0,0,0,0,4,131
Uttarakhand,HARIDWAR,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,NAINITAL,2013,0,3,0,12,0,0,0,0,0,0,0,0,15
Uttarakhand,PAURI GARHWAL,2013,0,0,2,8,0,0,0,0,0,0,0,0,10
Uttarakhand,PITHORAGARH,2013,0,0,4,0,0,0,0,0,0,0,0,0,4
Uttarakhand,RUDRA PRAYAG,2013,0,0,1,0,0,0,0,0,0,0,0,0,1
Uttarakhand,TEHRI GARHWAL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,UDHAMSINGH NAGAR,2013,0,1,5,31,0,0,0,0,0,0,0,1,38
Uttarakhand,UTTARKASHI,2013,0,1,4,6,0,0,0,0,0,0,0,3,14
Uttarakhand,TOTAL,2013,0,7,32,181,0,0,0,1,0,0,0,11,232
West Bengal,24 PARGANAS NORTH,2013,0,5,51,163,0,0,0,78,0,23,6,0,326
West Bengal,24 PARGANAS SOUTH,2013,0,3,14,367,1,0,1,50,0,10,1,10,457
West Bengal,ASANSOL,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,BANKURA,2013,0,0,8,1,0,0,0,0,0,0,1,0,10
West Bengal,BDN CP,2013,0,0,0,0,0,0,0,0,0,0,1,0,1
West Bengal,BIRBHUM,2013,0,5,25,52,0,0,0,0,0,0,0,0,82
West Bengal,BKP CP,2013,0,0,0,27,0,0,0,0,0,0,0,0,27
West Bengal,BURDWAN,2013,0,5,12,0,1,0,0,10,0,5,1,5,39
West Bengal,COOCHBEHAR,2013,0,2,7,88,1,0,0,12,0,2,1,4,117
West Bengal,DAKSHIN DINAJPUR,2013,0,1,15,33,0,1,0,0,0,0,0,12,62
West Bengal,DARJEELING,2013,0,1,2,0,0,0,0,5,0,1,0,2,11
West Bengal,HOOGHLY,2013,0,5,12,5,0,0,0,0,0,0,0,0,22
West Bengal,HOWRAH,2013,0,0,0,0,0,0,0,0,0,0,1,0,1
West Bengal,HOWRAH CITY,2013,0,0,0,120,0,0,0,0,0,0,2,0,122
West Bengal,HOWRAH G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,JALPAIGURI,2013,0,2,2,51,0,0,0,5,0,2,5,2,69
West Bengal,JHARGRAM,2013,0,2,0,0,0,0,0,0,0,0,0,0,2
West Bengal,KHARAGPUR G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,KOLKATA,2013,0,4,58,156,0,4,0,8,0,9,0,42,281
West Bengal,MALDA,2013,0,0,7,154,0,0,0,3,0,0,3,1,168
West Bengal,MURSHIDABAD,2013,0,18,109,87,0,0,0,210,0,4,6,7,441
West Bengal,NADIA,2013,0,1,1,0,0,0,0,0,0,0,0,0,2
West Bengal,PASCHIM MIDNAPUR,2013,0,0,1,0,0,0,0,2,0,0,2,1,6
West Bengal,PURAB MIDNAPUR,2013,0,9,27,20,0,0,0,72,1,4,2,0,135
West Bengal,PURULIA,2013,0,0,12,0,0,0,0,0,0,0,3,2,17
West Bengal,SEALDAH G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,SILIGURI G.R.P.,2013,0,0,0,0,0,0,0,0,0,0,0,1,1
