states_uts,district,year,rape,custodial_rape,custodial_gang_rape,custodial_other_rape,rape_other_than_custodial,rape_gang_rape,rape_others,attempt_to_commit_rape,kidnapping_abduction_total,kidnaping_abduction,kidnaping_abduction_in_order_to_murder,kidnapping_for_ransom,kidnapping_abduction_of_women_to_compel_her_for_marriage,kidnaping_abduction_others,dowry_deaths,assault_on_women_with_intent_to_outrage_her_modesty_total,sexual_harassment,assault_on_women_with_intent_to_disrobe,voyeurism,stalking,others,insult_to_the_modesty_of_women_total,at_office_premises,in_places_related_to_work,in_public_transport_system,in_other_places,cruelty_by_husband_or_his_relatives,importation_of_girls_from_foreign_country,murder,attempt_to_commit_murder,culpable_homicide_not_amounting_to_murder,attempt_to_commit_culpable_homicide,grievous_hurt,hurt,acid_attack,attempt_to_acid_attack,deaths_caused_with_intent_to_cause_miscarriage,causing_miscarriage_without_consent_of_women,dacoity_total,dacoity_with_murder,other_dacoity,robbery,arson,humantrafficking,abetment_of_suicides_of_women,unnatural_offences,other_ipc_crimes,dowry_prohibition_act_1961,indecent_representation_of_women_p_act_1986,commission_of_sati_prevention_act_1987,protection_of_women_from_domestic_violence_act_2005,immoral_traffic_prevention_act,itp_under_section_5,itp_under_section_6,itp_under_section_7,itp_under_section_8,itp_under_other_sections,other_sll_crimes_against_women,total_crimes_against_women
Bihar,Aurangabad,2014,12,0,0,0,12,1,11,10,70,0,0,1,69,0,28,29,25,2,0,1,1,0,0,0,0,0,110,0,4,2,0,0,30,29,1,0,false,0,16,0,16,0,0,0,0,0,0,50,0,false,0,0,0,0,0,0,0,0,361
Bihar,Bagaha,2014,14,0,0,0,14,1,13,9,56,0,0,0,56,0,7,38,25,12,0,1,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,false,0,0,0,0,6,0,0,0,0,0,32,0,false,0,5,5,0,0,0,0,0,223
Bihar,Banka,2014,22,0,0,0,22,0,22,0,62,0,0,0,62,0,23,3,0,3,0,0,0,0,0,0,0,0,64,0,6,18,0,34,54,54,0,0,false,0,0,0,0,0,4,0,0,0,0,38,0,false,0,0,0,0,0,0,0,0,328
Bihar,Begusarai,2014,30,0,0,0,30,5,25,27,132,0,0,0,132,0,28,37,2,3,0,3,29,1,0,0,0,1,55,0,0,0,0,0,1,1,0,0,false,0,0,0,0,0,0,0,0,0,0,56,0,false,0,4,2,2,0,0,0,0,371
Bihar,Bettiah,2014,33,0,0,0,33,0,33,0,102,0,0,0,102,0,39,0,0,0,0,0,0,0,0,0,0,0,106,0,5,2,0,0,0,0,0,0,false,0,1,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,288
Bihar,Bhabhua,2014,12,0,0,0,12,0,12,16,61,2,0,0,59,0,12,0,0,0,0,0,0,0,0,0,0,0,44,0,6,12,0,0,0,0,0,0,false,0,2,0,2,2,8,0,0,0,0,7,0,false,0,0,0,0,0,0,0,0,182
Bihar,Bhagalpur,2014,52,0,0,0,52,2,50,25,165,0,0,0,165,0,20,31,16,13,0,2,0,0,0,0,0,0,161,0,0,0,0,0,1,0,1,0,false,0,0,0,0,0,0,1,0,0,0,109,0,false,0,0,0,0,0,0,0,0,565
Bihar,Bhojpur,2014,32,0,0,0,32,5,27,15,115,0,0,0,107,8,46,7,2,5,0,0,0,0,0,0,0,0,129,0,35,47,3,44,81,81,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,3,3,0,0,0,0,0,557
Bihar,Buxar,2014,16,0,0,0,16,0,16,0,72,0,0,0,72,0,24,13,13,0,0,0,0,0,0,0,0,0,95,0,6,0,0,0,40,40,0,0,false,0,0,0,0,0,0,0,0,0,0,53,0,false,0,0,0,0,0,0,0,0,319
Bihar,Darbhanga,2014,50,0,0,0,50,0,50,56,216,0,0,0,216,0,30,8,8,0,0,0,0,0,0,0,0,0,298,0,4,15,1,0,12,12,0,0,false,0,0,0,0,0,0,0,0,0,0,206,0,false,0,0,0,0,0,0,0,0,896
Bihar,Gaya,2014,48,0,0,0,48,0,48,26,174,0,0,0,174,0,63,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,1,0,0,0,107,0,false,112,2,2,0,0,0,0,0,731
Bihar,Gopalganj,2014,14,0,0,0,14,5,9,0,110,0,0,0,110,0,33,0,0,0,0,0,0,6,0,0,0,6,156,0,13,125,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,457
Bihar,Jamalpur Railway,2014,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,5
Bihar,Jamui,2014,23,0,0,0,23,1,22,23,46,0,2,0,41,3,21,10,0,0,0,0,10,1,0,0,0,1,46,0,15,2,2,0,8,8,0,0,false,0,1,0,1,0,1,0,0,0,0,44,0,false,0,0,0,0,0,0,0,0,243
Bihar,Jehanabad,2014,10,0,0,0,10,1,9,13,66,11,0,0,55,0,22,0,0,0,0,0,0,0,0,0,0,0,56,0,10,0,0,0,43,43,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,220
Bihar,Katihar,2014,65,0,0,0,65,0,65,17,116,0,0,0,103,13,14,0,0,0,0,0,0,0,0,0,0,0,59,0,2,9,0,0,22,22,0,0,false,0,3,0,3,4,2,2,0,0,0,65,0,false,0,0,0,0,0,0,0,0,380
Bihar,Katihar Railway,2014,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,3,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,15
Bihar,Khagaria,2014,14,0,0,0,14,0,14,17,92,0,0,0,92,0,17,2,2,0,0,0,0,0,0,0,0,0,19,0,7,3,0,0,26,26,0,0,false,0,0,0,0,1,1,0,0,0,0,3,0,false,0,0,0,0,0,0,0,0,202
Bihar,Kishanganj,2014,64,0,0,0,64,0,64,0,101,0,0,0,101,0,12,22,1,0,0,0,21,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,27,0,false,0,7,7,0,0,0,0,0,318
Bihar,Lakhisarai,2014,10,0,0,0,10,1,9,5,35,0,0,0,35,0,8,63,43,20,0,0,0,1,0,0,0,1,29,0,9,8,1,0,4,4,0,0,false,0,0,0,0,5,2,4,0,0,0,31,0,false,0,0,0,0,0,0,0,0,215
Bihar,Madhepura,2014,10,0,0,0,10,0,10,19,64,3,4,0,57,0,8,8,8,0,0,0,0,0,0,0,0,0,50,0,5,10,0,3,2,2,0,0,false,0,1,0,1,4,3,0,0,0,0,5,0,false,0,0,0,0,0,0,0,10,202
Bihar,Madhubani,2014,41,0,0,0,41,0,41,11,169,0,0,0,169,0,34,9,9,0,0,0,0,0,0,0,0,0,227,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,492
Bihar,Motihari,2014,31,0,0,0,31,0,31,0,223,0,0,0,223,0,75,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,167,0,false,0,0,0,0,0,0,0,0,759
Bihar,Munger,2014,11,0,0,0,11,0,11,8,49,8,2,1,38,0,8,5,3,2,0,0,0,0,0,0,0,0,48,0,2,3,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,134
Bihar,Muzaffarpur,2014,44,0,0,0,44,0,44,61,215,0,0,0,215,0,178,166,83,0,0,0,83,0,0,0,0,0,109,5,43,16,9,0,968,968,0,0,false,0,9,0,9,58,9,0,0,0,0,178,0,false,0,0,0,0,0,0,0,0,2068
Bihar,Muzaffarpur Railway,2014,2,0,0,0,2,0,2,0,2,0,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,1,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,8
Bihar,Nalanda,2014,29,0,0,0,29,1,28,12,124,5,0,0,119,0,59,4,0,0,4,0,0,0,0,0,0,0,271,0,5,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,203,0,false,0,0,0,0,0,0,0,0,707
Bihar,Naugachia,2014,10,0,0,0,10,0,10,0,36,0,0,0,36,0,10,3,3,0,0,0,0,0,0,0,0,0,88,0,4,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,151
Bihar,Nawadah,2014,22,0,0,0,22,0,22,3,57,0,0,0,57,0,22,10,10,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,14,0,false,0,0,0,0,0,0,0,0,205
Bihar,Patna,2014,86,0,0,0,86,1,85,28,519,0,0,0,519,0,83,0,0,0,0,0,0,60,0,0,0,60,535,0,78,0,0,0,145,145,0,0,false,0,0,0,0,0,0,0,0,0,0,146,0,false,0,10,10,0,0,0,0,0,1690
Bihar,Patna Railway,2014,1,0,0,0,1,0,1,0,1,0,1,0,0,0,5,13,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,23
Bihar,Purnea,2014,66,0,0,0,66,0,66,0,140,0,0,0,140,0,26,30,0,0,0,0,30,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,16,0,false,0,0,0,0,0,0,0,0,393
Bihar,Rohtas,2014,22,0,0,0,22,0,22,5,115,0,0,0,115,0,54,0,0,0,0,0,0,0,0,0,0,0,106,0,17,0,0,0,91,91,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,410
Bihar,Saharsa,2014,14,0,0,0,14,0,14,0,94,0,0,0,94,0,19,0,0,0,0,0,0,0,0,0,0,0,70,0,0,13,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,210
Bihar,Samastipur,2014,38,0,0,0,38,0,38,40,173,0,0,0,173,0,39,0,0,0,0,0,0,0,0,0,0,0,184,0,33,20,7,0,75,75,0,0,false,0,0,0,0,15,5,0,0,0,0,72,0,false,0,0,0,0,0,0,0,0,701
Bihar,Saran,2014,37,0,0,0,37,0,37,0,160,0,0,0,160,0,83,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,false,0,1,0,1,4,13,0,0,0,0,71,0,false,0,0,0,0,0,0,0,0,526
Bihar,Sheikhpura,2014,5,0,0,0,5,0,5,0,34,0,0,0,34,0,6,18,1,0,0,0,17,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,45,0,false,0,0,0,0,0,0,0,0,180
Bihar,Sheohar,2014,8,0,0,0,8,0,8,5,24,0,0,0,24,0,6,16,10,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,1,1,0,0,false,0,0,0,0,0,0,0,0,0,0,6,0,false,0,0,0,0,0,0,0,0,80
Bihar,Sitamarhi,2014,11,0,0,0,11,0,11,20,188,0,0,0,188,0,29,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,12,12,0,0,false,0,0,0,0,0,2,0,0,0,115,125,0,false,0,0,0,0,0,0,0,137,881
Bihar,Siwan,2014,17,0,0,0,17,0,17,0,152,0,0,0,152,0,64,7,0,0,0,0,7,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,225,0,false,0,0,0,0,0,0,0,0,515
Bihar,Supaul,2014,32,0,0,0,32,0,32,13,90,26,0,0,64,0,22,0,0,0,0,0,0,0,0,0,0,0,83,0,0,6,0,0,0,0,0,0,false,0,0,0,0,0,1,0,0,0,0,28,0,false,0,0,0,0,0,0,0,0,275
Bihar,Vaishali,2014,28,0,0,0,28,0,28,0,226,0,0,0,222,4,66,0,0,0,0,0,0,0,0,0,0,0,139,0,3,0,0,0,20,20,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,482
Bihar,Economic Offences Unit,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0
Bihar,Anti Terrorist Squad,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0
Bihar,Total,2014,1127,0,0,0,1127,24,1103,484,4735,55,9,2,4641,28,1373,572,271,61,4,7,229,69,0,0,0,69,4672,5,317,311,23,81,1637,1635,2,0,false,0,35,0,35,100,51,8,0,0,115,2203,0,false,112,31,29,2,0,0,0,147,18208
Chhattisgarh,Balod,2014,34,0,0,0,34,2,32,0,18,0,0,0,18,0,4,62,16,8,0,9,29,3,0,0,0,3,23,0,8,8,0,0,3,3,0,0,false,0,0,0,0,2,0,0,1,0,198,0,0,false,0,0,0,0,0,0,0,5,369
Chhattisgarh,Balodbazar,2014,40,0,0,0,40,5,35,6,113,113,0,0,0,0,8,95,84,11,0,0,0,6,0,6,0,0,32,0,8,2,0,0,177,177,0,0,false,0,0,0,0,1,3,0,0,1,0,0,0,false,0,0,0,0,0,0,0,0,492
Chhattisgarh,Balrampur,2014,111,0,0,0,111,6,105,0,14,0,0,0,0,14,5,62,0,0,0,0,62,1,0,0,0,1,39,0,29,8,0,0,27,27,0,0,false,0,0,0,0,0,0,4,5,0,166,0,0,false,0,0,0,0,0,0,0,9,480
Chhattisgarh,Bemetra,2014,41,0,0,0,41,2,39,0,23,0,0,0,23,0,3,56,0,0,0,0,56,0,0,0,0,0,19,0,7,2,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,200,1,0,false,0,0,0,0,0,0,0,0,354
Chhattisgarh,Bilaspur,2014,94,0,0,0,94,4,90,0,156,132,0,0,24,0,13,211,49,2,3,15,142,5,0,0,0,5,75,0,36,8,0,0,14,14,0,0,false,0,0,0,0,4,1,0,13,0,270,0,0,false,0,0,0,0,0,0,0,10,910
Chhattisgarh,Bizapur,2014,6,0,0,0,6,0,6,0,8,6,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,4,0,0,0,2,2,0,0,false,0,0,0,0,0,0,0,0,0,38,0,0,false,0,0,0,0,0,0,0,0,62
Chhattisgarh,Dantewara,2014,11,0,0,0,11,1,10,0,6,3,0,0,3,0,0,9,3,1,0,1,4,0,0,0,0,0,6,0,5,0,0,0,1,1,0,0,false,0,0,0,0,0,0,3,0,0,11,0,0,false,0,0,0,0,0,0,0,0,52
Chhattisgarh,Dhamtari,2014,36,0,0,0,36,0,36,1,19,12,0,0,7,0,3,49,4,6,0,3,36,6,0,0,0,6,9,0,10,4,0,0,5,5,0,0,false,0,0,0,0,0,0,0,4,0,129,0,0,false,0,0,0,0,0,0,0,0,275
Chhattisgarh,Durg,2014,84,0,0,0,84,0,84,4,150,126,0,0,24,0,12,254,0,0,0,0,254,12,0,0,0,12,172,0,14,13,0,0,7,7,0,0,false,0,0,0,0,15,2,3,6,2,633,1,0,false,0,0,0,0,0,0,0,12,1396
Chhattisgarh,Gariyaband,2014,42,0,0,0,42,1,41,1,13,10,0,0,3,0,3,31,12,1,0,4,14,3,0,0,0,3,14,0,7,3,0,0,6,6,0,0,false,0,0,0,0,1,0,0,0,1,87,1,0,false,0,0,0,0,0,0,0,0,213
Chhattisgarh,G. R. P. Raipur,2014,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,8,7,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,false,0,0,0,0,3,0,0,0,0,2,0,0,false,0,0,0,0,0,0,0,0,20
Chhattisgarh,Jagdalpur,2014,32,0,0,0,32,0,32,0,31,0,0,0,0,31,1,42,42,0,0,0,0,0,0,0,0,0,20,0,12,2,0,0,70,70,0,0,false,0,0,0,0,0,0,0,0,0,26,0,0,false,0,0,0,0,0,0,0,0,236
Chhattisgarh,Janjgir,2014,64,0,0,0,64,4,60,0,106,79,1,0,25,1,20,141,54,8,0,2,77,7,0,0,0,7,90,0,20,9,2,0,9,9,0,0,false,0,0,0,0,6,2,1,15,0,289,0,0,false,0,0,0,0,0,0,0,2,783
Chhattisgarh,Jashpur,2014,86,0,0,0,86,8,78,0,33,14,0,0,8,11,0,48,48,0,0,0,0,0,0,0,0,0,11,0,23,3,0,0,16,16,0,0,false,0,0,0,0,1,0,15,0,0,0,0,0,false,0,0,0,0,0,0,0,0,236
Chhattisgarh,Kabirdham,2014,39,0,0,0,39,0,39,1,54,47,1,0,6,0,6,84,0,4,0,2,78,2,0,2,0,0,14,0,14,2,0,0,4,4,0,0,false,0,0,0,0,0,0,0,5,0,158,0,0,false,0,0,0,0,0,0,0,0,383
Chhattisgarh,Kanker,2014,40,0,0,0,40,0,40,0,31,31,0,0,0,0,5,37,0,0,0,0,37,2,0,0,0,2,25,0,18,7,0,0,7,7,0,0,false,0,0,0,0,0,0,0,8,0,76,0,0,false,0,0,0,0,0,0,0,0,256
Chhattisgarh,Kondagaon,2014,21,0,0,0,21,0,21,0,15,0,0,0,12,3,1,16,2,4,0,0,10,0,0,0,0,0,8,0,15,1,1,0,10,10,0,0,false,0,0,0,0,0,0,0,0,0,21,0,0,false,0,0,0,0,0,0,0,0,109
Chhattisgarh,Korba,2014,68,0,0,0,68,10,58,2,36,0,0,0,11,25,6,83,5,1,0,5,72,4,0,0,0,4,51,0,16,0,0,0,6,6,0,0,false,0,0,0,0,0,0,2,0,0,0,0,0,false,0,0,0,0,0,0,0,0,274
Chhattisgarh,Koriya,2014,58,0,0,0,58,3,55,0,62,50,0,0,12,0,2,74,74,0,0,0,0,1,0,0,0,1,59,0,17,5,0,0,170,170,0,0,false,0,0,0,0,2,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,451
Chhattisgarh,Mahasamund,2014,44,0,0,0,44,0,44,0,65,52,0,0,7,6,10,99,1,0,0,0,98,4,0,0,0,4,28,0,12,5,0,0,2,2,0,0,true,0,0,0,0,0,0,0,4,0,193,0,0,false,0,0,0,0,0,0,0,0,467
Chhattisgarh,Mungali,2014,10,0,0,0,10,1,9,0,32,32,0,0,0,0,6,38,0,0,0,0,38,15,0,0,0,15,14,0,11,1,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,129
Chhattisgarh,Narayanpur,2014,7,0,0,0,7,0,7,0,5,3,0,0,2,0,0,6,0,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,false,0,0,0,0,0,0,6,0,0,0,0,0,false,0,0,0,0,0,0,0,0,27
Chhattisgarh,Raigarh,2014,121,0,0,0,121,3,118,0,49,0,0,0,0,49,7,140,140,0,0,0,0,1,0,1,0,0,46,0,29,6,1,0,142,142,0,0,false,0,0,0,0,1,2,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,545
Chhattisgarh,Raipur,2014,141,0,0,0,141,4,137,6,179,146,0,0,33,0,3,224,48,20,2,16,138,4,0,4,0,0,96,0,16,17,1,0,7,7,0,0,false,0,0,0,0,17,1,0,16,0,559,4,0,false,0,2,2,0,0,0,0,18,1311
Chhattisgarh,Rajnandgaon,2014,57,0,0,0,57,4,53,0,93,50,0,0,43,0,4,100,27,4,1,10,58,3,0,0,0,3,33,0,10,7,0,0,3,3,0,0,false,0,0,0,0,1,0,0,18,0,229,0,0,false,0,0,0,0,0,0,0,2,560
Chhattisgarh,Sarguja,2014,94,0,0,0,94,4,90,0,11,5,0,0,0,6,4,76,15,0,2,1,58,0,0,0,0,0,23,0,14,1,0,0,10,10,0,0,false,0,0,0,0,2,2,0,7,0,0,0,0,false,0,0,0,0,0,0,0,127,371
Chhattisgarh,Sukma,2014,5,0,0,0,5,0,5,0,5,2,0,0,2,1,0,5,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,2,2,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,23
Chhattisgarh,Surajpur,2014,50,0,0,0,50,2,48,0,65,8,1,0,0,56,1,70,12,5,1,3,49,0,0,0,0,0,47,0,15,1,0,0,15,15,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,266
Chhattisgarh,Total,2014,1436,0,0,0,1436,64,1372,21,1393,922,5,0,263,203,128,2122,649,76,9,72,1316,79,0,13,0,66,964,0,375,115,5,0,716,716,0,0,true,0,0,0,0,62,13,34,102,4,3285,8,0,false,0,2,2,0,0,0,0,185,11050
Goa,North Goa,2014,55,0,0,0,55,0,55,0,55,51,0,0,0,4,0,146,38,5,6,16,81,40,0,1,0,39,11,0,7,4,1,0,18,18,0,0,false,0,1,0,1,1,4,1,0,0,5,0,0,false,1,5,1,0,0,0,4,5,360
Goa,South Goa,2014,37,0,0,0,37,2,35,2,31,26,0,0,0,5,0,53,10,2,5,8,28,17,1,0,0,16,23,0,5,1,1,0,6,6,0,0,false,0,0,0,0,5,2,0,0,0,1,0,0,false,1,2,2,0,0,0,0,2,189
Goa,C. I. D.,2014,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,13,0,0,1,0,0,false,0,2,2,0,0,0,0,4,27
Goa,Total,2014,95,0,0,0,95,2,93,2,86,77,0,0,0,9,0,202,50,7,11,25,109,57,1,1,0,55,35,0,12,5,2,0,24,24,0,0,false,0,1,0,1,6,6,14,0,0,7,0,0,false,2,9,5,0,0,0,4,11,576
Gujarat,Ahmedabad City,2014,100,0,0,0,100,0,100,0,261,48,0,1,201,11,11,162,68,1,2,12,79,3,0,0,0,3,802,0,16,9,4,0,22,19,3,0,false,0,0,0,0,127,0,2,11,1,271,0,0,false,1,14,9,1,0,1,3,180,1997
Gujarat,Ahmedabad Rural,2014,18,0,0,0,18,0,18,0,80,34,0,0,21,25,0,31,4,0,0,0,27,0,0,0,0,0,142,0,10,8,1,0,11,11,0,0,false,0,0,0,0,1,0,0,5,0,142,0,0,false,0,0,0,0,0,0,0,33,482
Gujarat,Amreli,2014,7,0,0,0,7,0,7,1,65,4,0,0,61,0,0,21,0,0,0,0,21,1,0,0,0,1,139,0,7,2,0,0,18,18,0,0,false,0,0,0,0,3,0,0,13,0,22,0,0,false,0,0,0,0,0,0,0,67,366
Gujarat,Anand,2014,12,0,0,0,12,1,11,0,71,1,0,0,69,1,0,21,2,0,0,0,19,5,0,2,0,3,117,0,12,5,0,0,20,19,1,0,false,0,2,0,2,19,0,0,4,0,5,0,0,false,0,1,1,0,0,0,0,0,294
Gujarat,Arvalli,2014,5,0,0,0,5,0,5,0,37,8,0,0,21,8,0,19,19,0,0,0,0,2,0,0,0,2,69,0,10,4,0,0,2,2,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,149
Gujarat,Banaskantha,2014,56,0,0,0,56,0,56,0,105,0,0,0,105,0,0,90,5,0,0,0,85,2,0,0,0,2,295,0,0,0,0,0,5,5,0,0,false,0,0,0,0,0,0,0,0,0,18,0,0,false,0,6,0,0,0,0,6,0,577
Gujarat,Bharuch,2014,42,0,0,0,42,1,41,0,45,5,0,0,31,9,0,49,15,3,1,8,22,0,0,0,0,0,63,0,17,7,0,0,7,7,0,0,false,0,1,0,1,8,0,0,0,0,31,0,0,false,0,1,1,0,0,0,0,18,289
Gujarat,Bhavnagar,2014,17,0,0,0,17,0,17,0,97,0,0,0,97,0,0,39,10,0,0,0,29,36,1,1,0,34,155,0,8,2,3,0,13,13,0,0,false,0,0,0,0,4,0,0,0,0,13,0,0,false,0,0,0,0,0,0,0,25,412
Gujarat,Botad,2014,11,0,0,0,11,0,11,0,25,24,0,0,1,0,0,11,0,0,0,0,11,0,0,0,0,0,39,0,4,1,0,0,6,6,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,98
Gujarat,Chhotaudepur,2014,15,0,0,0,15,0,15,0,38,1,0,0,36,1,0,11,0,0,0,0,11,0,0,0,0,0,21,0,9,0,0,0,11,11,0,0,false,0,1,0,1,1,1,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,108
Gujarat,C. I. D. Crime,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0
Gujarat,Dahod,2014,27,0,0,0,27,0,27,0,95,76,0,0,0,19,0,28,0,0,0,0,28,0,0,0,0,0,133,0,11,2,0,0,32,32,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,332
Gujarat,Dang,2014,4,0,0,0,4,0,4,0,2,1,0,0,0,1,1,6,0,0,0,0,6,4,0,0,0,4,26,0,3,0,0,0,8,8,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,54
Gujarat,Devbhumi Dwarka,2014,3,0,0,0,3,0,3,0,13,1,0,0,12,0,0,14,0,0,0,0,14,0,0,0,0,0,131,0,4,2,0,0,1,1,0,0,false,0,1,0,1,3,0,0,3,0,11,0,0,false,0,1,0,1,0,0,0,3,190
Gujarat,Gandhinagar,2014,17,0,0,0,17,0,17,3,65,4,0,0,57,4,0,22,4,1,0,3,14,2,0,0,0,2,152,0,6,1,1,0,8,8,0,0,false,0,0,0,0,42,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,319
Gujarat,Gir Somnath,2014,17,0,0,0,17,0,17,0,29,22,0,0,5,2,1,30,4,0,0,0,26,2,0,0,0,2,125,0,4,0,0,0,5,5,0,0,false,0,0,0,0,2,1,0,10,0,4,0,0,false,0,0,0,0,0,0,0,0,230
Gujarat,Jamnagar,2014,34,0,0,0,34,1,33,0,56,0,0,0,56,0,1,26,0,0,0,0,26,1,0,0,0,1,230,0,3,1,0,0,5,5,0,0,false,0,2,0,2,2,0,0,8,0,0,0,0,false,0,2,0,0,0,0,2,0,371
Gujarat,Junagadh,2014,21,0,0,0,21,0,21,0,64,32,0,0,9,23,0,42,0,20,0,1,21,0,0,0,0,0,297,0,5,2,0,0,5,5,0,0,false,0,0,0,0,7,0,0,13,0,36,0,0,false,0,2,0,1,1,0,0,4,498
Gujarat,Kachchh East(G),2014,31,0,0,0,31,1,30,0,39,0,0,0,17,22,0,34,9,0,1,0,24,2,0,0,0,2,159,0,9,3,1,0,2,2,0,0,false,0,1,0,1,0,0,0,12,0,12,0,0,false,0,5,0,0,0,0,5,0,310
Gujarat,Kachchh West(B),2014,18,0,0,0,18,0,18,1,26,7,0,0,18,1,0,27,26,0,0,0,1,3,0,0,0,3,203,0,6,3,0,0,8,8,0,0,false,0,0,0,0,3,0,0,12,0,10,0,0,false,0,0,0,0,0,0,0,0,320
Gujarat,Kheda,2014,12,0,0,0,12,1,11,0,78,67,0,0,9,2,0,29,2,0,0,2,25,0,0,0,0,0,86,0,6,4,0,0,16,16,0,0,false,0,0,0,0,0,0,0,0,0,14,0,0,false,0,1,0,1,0,0,0,33,279
