area_name,year,group_name,sub_group_name,persons_acquitted,persons_against_whom_cases_compounded_or_withdrawn,persons_arrested,persons_chargesheeted,persons_convicted,persons_in_custody_or_on_bail_during_investigation_at_year_beginning,persons_in_custody_or_on_bail_during_investigation_at_year_end,persons_in_custody_or_on_bail_during_trial_at_year_end,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_trial_completed,persons_under_trial_at_year_beginning,total_persons_under_trial
Andaman & Nicobar Islands,2001,Rape,01. Rape,6,0,3,3,0,6,6,45,0,6,48,51
Andhra Pradesh,2001,Rape,01. Rape,1168,13,1150,1021,246,450,545,2191,34,1414,2597,3618
Arunachal Pradesh,2001,Rape,01. Rape,1,0,51,31,2,25,30,347,15,3,319,350
Assam,2001,Rape,01. Rape,403,14,928,585,120,806,959,2331,190,523,2283,2868
Bihar,2001,Rape,01. Rape,756,0,1400,1302,217,719,576,5963,241,973,5634,6936
Chandigarh,2001,Rape,01. Rape,12,0,32,31,2,0,0,59,1,14,42,73
Chhattisgarh,2001,Rape,01. Rape,636,67,1134,1213,276,116,37,4918,0,912,4684,5897
Dadra & Nagar Haveli,2001,Rape,01. Rape,9,0,10,11,1,2,1,32,0,10,31,42
Daman & Diu,2001,Rape,01. Rape,3,0,0,1,0,1,0,1,0,3,3,4
Delhi,2001,Rape,01. Rape,166,0,454,394,157,114,159,2597,15,323,2526,2920
Goa,2001,Rape,01. Rape,12,0,14,15,22,9,7,55,1,34,74,89
Gujarat,2001,Rape,01. Rape,223,10,401,411,32,41,31,3211,0,255,3065,3476
Haryana,2001,Rape,01. Rape,443,1,539,519,126,17,35,1020,2,569,1071,1590
Himachal Pradesh,2001,Rape,01. Rape,110,0,152,146,36,49,51,675,4,146,675,821
Jammu & Kashmir,2001,Rape,01. Rape,132,5,222,225,8,3,0,909,0,140,829,1054
Jharkhand,2001,Rape,01. Rape,267,15,637,885,114,345,62,1255,35,381,766,1651
Karnataka,2001,Rape,01. Rape,280,9,361,372,48,129,94,1609,24,328,1574,1946
