states_uts,district,year,protection_of_civil_rights_act_1955,poa_murder,poa_attempt_to_commit_murder,poa_rape,poa_attempt_to_commit_rape,poa_assault_on_women_with_intent_to_outrage_her_modesty,poa_sexual_harassment,poa_assault_on_women_with_intent_to_disrobe,poa_voyeurism,poa_stalking,poa_other_sexual_harassment,poa_insult_to_the_modesty_of_women,poa_kidnapping_abduction_grandtotal,poa_kidnaping_abduction_total,poa_kidnaping_abduction_in_order_to_murder,poa_kidnapping_for_ransom,poa_kidnapping_abduction_of_women_to_compel_her_for_marriage,poa_other_kidnapping,poa_dacoity,poa_dacoity_with_murder,poa_other_dacoity,poa_robbery,poa_arson,poa_grievous_hurt,poa_hurt,poa_acid_attack,poa_attempt_to_acid_attack,poa_riots,poa_other_ipc_crimes,poa_sc_st_prevention_of_atrocities_act_only,total_of_sc_st_prevention_of_atrocities_act_1989,ipc_murder,ipc_attempt_to_commit_murder,ipc_rape,ipc_attempt_to_commit_rape,ipc_assault_on_women_with_intent_to_outrage_her_modesty,ipc_sexual_harassment,ipc_assault_on_women_with_intent_to_disrobe,ipc_voyeurism,ipc_stalking,ipc_other_sexual_harassment,ipc_insult_to_the_modesty_of_women,ipc_kidnapping_abduction,ipc_kidnaping_abduction,ipc_kidnaping_abduction_in_order_to_murder,ipc_kidnapping_for_ransom,ipc_kidnapping_abduction_of_women_to_compel_her_for_marriage,ipc_other_kidnapping,ipc_dacoity,ipc_dacoity_with_murder,ipc_other_dacoity,ipc_robbery,ipc_arson,ipc_grievous_hurt,ipc_hurt,ipc_acid_attack,ipc_attempt_to_acid_attack,ipc_riots,ipc_other_ipc_crimes,total_ipc_crimes_against_scs,manual_scavengers_and_construction_of_dry_latrines_p_act_1993,other_sll_crime_against_scs,total_crimes_against_scs
Uttar Pradesh,Chandoli,2014,0,1,0,7,0,6,4,0,0,2,0,0,1,0,0,false,1,0,0,false,0,0,1,2,2,false,0,1,10,66,95,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,95
Uttar Pradesh,Chitrakoot,2014,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,false,0,0,0,0,0,false,0,0,12,74,94,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,94
Uttar Pradesh,Deoria,2014,0,1,0,1,0,0,0,0,0,0,0,0,10,0,2,false,8,0,0,false,0,0,1,0,0,false,0,0,69,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,82
Uttar Pradesh,Etah,2014,0,1,0,8,1,2,0,1,0,0,1,0,6,0,0,false,6,0,0,false,0,0,1,21,21,false,0,0,51,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,91
Uttar Pradesh,Etawah,2014,0,2,0,6,0,2,1,1,0,0,0,0,4,4,0,false,0,0,0,false,0,0,0,4,4,false,0,0,35,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,53
Uttar Pradesh,Faizabad,2014,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,false,1,0,0,false,0,0,0,1,1,false,0,0,0,84,92,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,92
Uttar Pradesh,Fatehgarh,2014,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,false,4,0,0,false,0,0,0,0,0,false,0,0,95,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,103
Uttar Pradesh,Fatehpur,2014,0,3,2,9,0,12,8,4,0,0,0,0,17,16,0,false,0,1,1,false,1,1,1,16,16,false,0,8,87,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,158
Uttar Pradesh,Firozabad,2014,0,4,4,6,1,3,1,1,0,1,0,0,10,0,0,false,10,0,0,false,0,0,0,7,7,false,0,17,36,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,88
Uttar Pradesh,G. R. P.,2014,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,false,1,0,0,false,0,0,0,0,0,false,0,1,2,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,false,0,12
