area_name,year,group_name,civilians_injured,civilians_killed,no_of_firings,policemen_injured,policemen_killed
Manipur,2007,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2007,Against Extremists & Terrorists,2,5,2,2,1
Mizoram,2007,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2007,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2007,Against Extremists & Terrorists,0,0,2,0,0
Puducherry,2007,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2007,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2007,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2007,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2007,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2007,Against Extremists & Terrorists,2,3,25,2,3
Uttar Pradesh,2007,Against Extremists & Terrorists,0,0,1,0,0
Uttarakhand,2007,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2007,Against Extremists & Terrorists,0,0,0,0,0
Andaman & Nicobar Islands,2008,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2008,Against Extremists & Terrorists,0,16,13,7,2
Arunachal Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Assam,2008,Against Extremists & Terrorists,3,5,9,0,1
Bihar,2008,Against Extremists & Terrorists,1,3,1,2,5
Chandigarh,2008,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2008,Against Extremists & Terrorists,0,0,52,58,37
Dadra & Nagar Haveli,2008,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2008,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2008,Against Extremists & Terrorists,0,2,1,1,1
Goa,2008,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2008,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2008,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2008,Against Extremists & Terrorists,10,4,29,48,18
Jharkhand,2008,Against Extremists & Terrorists,0,2,70,4,24
Karnataka,2008,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2008,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2008,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2008,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2008,Against Extremists & Terrorists,1,22,19,29,20
Manipur,2008,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2008,Against Extremists & Terrorists,0,2,2,0,0
Mizoram,2008,Against Extremists & Terrorists,0,0,1,2,4
Nagaland,2008,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2008,Against Extremists & Terrorists,0,0,0,6,14
Puducherry,2008,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2008,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2008,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2008,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2008,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2008,Against Extremists & Terrorists,0,17,32,0,0
Uttar Pradesh,2008,Against Extremists & Terrorists,0,6,3,0,0
Uttarakhand,2008,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2008,Against Extremists & Terrorists,0,0,0,0,0
Andaman & Nicobar Islands,2009,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2009,Against Extremists & Terrorists,0,10,12,0,0
Arunachal Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Assam,2009,Against Extremists & Terrorists,2,7,11,1,1
Bihar,2009,Against Extremists & Terrorists,2,1,2,2,4
Chandigarh,2009,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2009,Against Extremists & Terrorists,0,0,49,23,5
Dadra & Nagar Haveli,2009,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2009,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2009,Against Extremists & Terrorists,0,0,0,2,0
Goa,2009,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2009,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2009,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2009,Against Extremists & Terrorists,0,21,20,17,8
Jharkhand,2009,Against Extremists & Terrorists,0,0,70,0,0
Karnataka,2009,Against Extremists & Terrorists,0,0,0,0,0
Kerala,2009,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2009,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2009,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2009,Against Extremists & Terrorists,1,4,9,14,51
Manipur,2009,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2009,Against Extremists & Terrorists,0,0,0,0,0
Mizoram,2009,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2009,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2009,Against Extremists & Terrorists,0,1,9,35,22
Puducherry,2009,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2009,Against Extremists & Terrorists,0,0,0,0,0
Rajasthan,2009,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2009,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2009,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2009,Against Extremists & Terrorists,1,0,5,1,1
Uttar Pradesh,2009,Against Extremists & Terrorists,0,0,1,0,0
Uttarakhand,2009,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2009,Against Extremists & Terrorists,0,0,0,0,5
Andaman & Nicobar Islands,2010,Against Extremists & Terrorists,0,0,0,0,0
Andhra Pradesh,2010,Against Extremists & Terrorists,0,1,1,0,0
Arunachal Pradesh,2010,Against Extremists & Terrorists,0,0,0,0,0
Assam,2010,Against Extremists & Terrorists,0,1,2,0,0
Bihar,2010,Against Extremists & Terrorists,0,0,0,0,0
Chandigarh,2010,Against Extremists & Terrorists,0,0,0,0,0
Chhattisgarh,2010,Against Extremists & Terrorists,1,10,78,12,68
Dadra & Nagar Haveli,2010,Against Extremists & Terrorists,0,0,0,0,0
Daman & Diu,2010,Against Extremists & Terrorists,0,0,0,0,0
Delhi,2010,Against Extremists & Terrorists,0,0,0,0,0
Goa,2010,Against Extremists & Terrorists,0,0,0,0,0
Gujarat,2010,Against Extremists & Terrorists,0,0,0,0,0
Haryana,2010,Against Extremists & Terrorists,0,0,0,0,0
Himachal Pradesh,2010,Against Extremists & Terrorists,0,0,0,0,0
Jammu & Kashmir,2010,Against Extremists & Terrorists,14,2,24,20,16
Jharkhand,2010,Against Extremists & Terrorists,0,1,6,5,15
Karnataka,2010,Against Extremists & Terrorists,0,1,1,1,0
Kerala,2010,Against Extremists & Terrorists,0,0,0,0,0
Lakshadweep,2010,Against Extremists & Terrorists,0,0,0,0,0
Madhya Pradesh,2010,Against Extremists & Terrorists,0,0,0,0,0
Maharashtra,2010,Against Extremists & Terrorists,9,7,6,16,7
Manipur,2010,Against Extremists & Terrorists,0,0,0,0,0
Meghalaya,2010,Against Extremists & Terrorists,0,0,0,0,0
Mizoram,2010,Against Extremists & Terrorists,0,0,0,0,0
Nagaland,2010,Against Extremists & Terrorists,0,0,0,0,0
Odisha,2010,Against Extremists & Terrorists,0,0,8,1,8
Puducherry,2010,Against Extremists & Terrorists,0,0,0,0,0
Punjab,2010,Against Extremists & Terrorists,0,2,1,2,2
Rajasthan,2010,Against Extremists & Terrorists,0,0,0,0,0
Sikkim,2010,Against Extremists & Terrorists,0,0,0,0,0
Tamil Nadu,2010,Against Extremists & Terrorists,0,0,0,0,0
Tripura,2010,Against Extremists & Terrorists,0,0,3,2,2
Uttar Pradesh,2010,Against Extremists & Terrorists,0,2,2,0,0
Uttarakhand,2010,Against Extremists & Terrorists,0,0,0,0,0
West Bengal,2010,Against Extremists & Terrorists,14,21,40,1,29
Andaman & Nicobar Islands,2001,Against others,0,0,0,0,0
Andhra Pradesh,2001,Against others,20,10,38,3,0
Arunachal Pradesh,2001,Against others,0,0,0,0,0
Assam,2001,Against others,0,0,0,0,0
Bihar,2001,Against others,7,27,21,4,1
Chandigarh,2001,Against others,0,0,0,0,0
Chhattisgarh,2001,Against others,0,0,0,0,0
Dadra & Nagar Haveli,2001,Against others,0,0,0,0,0
Daman & Diu,2001,Against others,0,0,0,0,0
Delhi,2001,Against others,6,2,10,7,0
Goa,2001,Against others,0,0,0,0,0
Gujarat,2001,Against others,4,4,14,7,0
Haryana,2001,Against others,0,1,1,0,0
Himachal Pradesh,2001,Against others,0,0,0,0,0
Jammu & Kashmir,2001,Against others,2,0,8,1,0
Jharkhand,2001,Against others,3,1,1,12,0
Karnataka,2001,Against others,1,3,4,4,0
Kerala,2001,Against others,0,0,0,0,0
Lakshadweep,2001,Against others,0,0,0,0,0
Madhya Pradesh,2001,Against others,0,0,3,6,1
Maharashtra,2001,Against others,4,95,91,17,1
Manipur,2001,Against others,0,0,0,0,0
Meghalaya,2001,Against others,0,0,0,0,0
Mizoram,2001,Against others,0,0,0,0,0
Nagaland,2001,Against others,0,0,0,0,0
Odisha,2001,Against others,0,0,4,0,0
Puducherry,2001,Against others,0,0,0,0,0
Punjab,2001,Against others,0,0,0,0,0
Rajasthan,2001,Against others,1,0,8,3,1
Sikkim,2001,Against others,0,0,0,0,0
Tamil Nadu,2001,Against others,24,3,14,136,0
Tripura,2001,Against others,0,0,0,0,0
Uttar Pradesh,2001,Against others,3,92,115,86,16
Uttarakhand,2001,Against others,0,0,0,0,0
West Bengal,2001,Against others,9,5,30,25,2
Andaman & Nicobar Islands,2002,Against others,0,0,0,0,0
Andhra Pradesh,2002,Against others,1,12,13,3,0
Arunachal Pradesh,2002,Against others,0,0,1,0,1
Assam,2002,Against others,14,0,16,0,3
Bihar,2002,Against others,6,12,30,4,2
Chandigarh,2002,Against others,0,0,0,0,0
Chhattisgarh,2002,Against others,0,0,5,2,0
Dadra & Nagar Haveli,2002,Against others,0,0,0,0,0
Daman & Diu,2002,Against others,0,0,0,0,0
Delhi,2002,Against others,0,0,0,0,0
Goa,2002,Against others,0,0,0,0,0
Gujarat,2002,Against others,26,10,56,18,0
Haryana,2002,Against others,0,1,1,0,0
Himachal Pradesh,2002,Against others,0,0,0,0,0
Jammu & Kashmir,2002,Against others,0,0,18,11,5
Jharkhand,2002,Against others,1,0,1,4,0
Karnataka,2002,Against others,1,0,1,0,0
Kerala,2002,Against others,0,0,1,0,0
Lakshadweep,2002,Against others,0,0,0,0,0
Madhya Pradesh,2002,Against others,12,7,18,53,0
Maharashtra,2002,Against others,6,72,58,9,2
Manipur,2002,Against others,0,0,0,0,0
Meghalaya,2002,Against others,0,0,0,0,0
Mizoram,2002,Against others,0,0,0,0,0
Nagaland,2002,Against others,0,0,0,0,0
Odisha,2002,Against others,0,1,1,0,0
Puducherry,2002,Against others,0,0,0,0,0
Punjab,2002,Against others,0,0,2,24,4
Rajasthan,2002,Against others,11,5,14,12,1
Sikkim,2002,Against others,0,0,0,0,0
Tamil Nadu,2002,Against others,0,0,0,0,0
Tripura,2002,Against others,0,0,1,0,2
Uttar Pradesh,2002,Against others,26,42,74,47,19
Uttarakhand,2002,Against others,0,0,1,0,0
West Bengal,2002,Against others,13,4,27,29,0
Andaman & Nicobar Islands,2003,Against others,0,0,0,0,0
Andhra Pradesh,2003,Against others,0,0,3,0,1
Arunachal Pradesh,2003,Against others,0,0,2,0,0
Assam,2003,Against others,0,0,0,0,0
Bihar,2003,Against others,1,3,23,3,0
Chandigarh,2003,Against others,0,0,0,0,0
Chhattisgarh,2003,Against others,2,7,30,20,2
Dadra & Nagar Haveli,2003,Against others,0,0,0,0,0
Daman & Diu,2003,Against others,0,0,0,0,0
Delhi,2003,Against others,0,0,0,0,0
Goa,2003,Against others,0,0,0,0,0
Gujarat,2003,Against others,0,2,3,2,0
Haryana,2003,Against others,3,3,2,3,2
Himachal Pradesh,2003,Against others,0,0,0,0,0
Jammu & Kashmir,2003,Against others,0,0,1,0,0
Jharkhand,2003,Against others,0,0,0,5,0
Karnataka,2003,Against others,1,0,1,0,0
Kerala,2003,Against others,0,0,0,0,0
Lakshadweep,2003,Against others,0,0,0,0,0
Madhya Pradesh,2003,Against others,0,1,10,7,0
Maharashtra,2003,Against others,4,43,32,8,0
Manipur,2003,Against others,0,0,0,0,0
Meghalaya,2003,Against others,0,0,0,0,0
Mizoram,2003,Against others,0,0,0,0,0
Nagaland,2003,Against others,0,0,0,0,0
Odisha,2003,Against others,0,2,2,7,0
Puducherry,2003,Against others,0,0,0,0,0
Punjab,2003,Against others,0,0,0,0,0
Rajasthan,2003,Against others,0,0,2,16,0
Sikkim,2003,Against others,0,0,0,0,0
Tamil Nadu,2003,Against others,2,4,10,13,0
Tripura,2003,Against others,0,0,0,0,0
Uttar Pradesh,2003,Against others,3,14,12,48,18
Uttarakhand,2003,Against others,0,0,0,0,0
West Bengal,2003,Against others,5,3,10,10,0
Andaman & Nicobar Islands,2004,Against others,0,0,0,0,0
Andhra Pradesh,2004,Against others,1,3,8,15,0
Arunachal Pradesh,2004,Against others,1,0,1,0,0
Assam,2004,Against others,0,0,0,0,0
Bihar,2004,Against others,2,2,9,8,0
Chandigarh,2004,Against others,0,0,0,0,0
Chhattisgarh,2004,Against others,4,0,33,9,0
Dadra & Nagar Haveli,2004,Against others,0,0,0,0,0
Daman & Diu,2004,Against others,0,0,0,0,0
Delhi,2004,Against others,8,10,7,0,0
Goa,2004,Against others,0,0,0,0,0
Gujarat,2004,Against others,0,3,5,1,0
Haryana,2004,Against others,0,0,0,0,0
Himachal Pradesh,2004,Against others,0,0,0,0,0
Jammu & Kashmir,2004,Against others,0,0,3,17,0
Jharkhand,2004,Against others,0,0,0,0,0
Karnataka,2004,Against others,0,0,0,0,0
Kerala,2004,Against others,0,0,2,7,0
Lakshadweep,2004,Against others,0,0,0,0,0
Madhya Pradesh,2004,Against others,1,5,7,4,0
Maharashtra,2004,Against others,1,16,15,0,1
Manipur,2004,Against others,0,0,0,0,0
Meghalaya,2004,Against others,0,1,1,0,0
Mizoram,2004,Against others,0,0,0,0,0
Nagaland,2004,Against others,0,0,0,0,0
Odisha,2004,Against others,0,0,0,0,0
Puducherry,2004,Against others,0,0,0,0,0
Punjab,2004,Against others,0,0,0,0,0
Rajasthan,2004,Against others,0,0,1,3,0
Sikkim,2004,Against others,0,0,0,0,0
Tamil Nadu,2004,Against others,1,6,8,11,0
Tripura,2004,Against others,0,0,0,0,0
Uttar Pradesh,2004,Against others,0,21,27,20,16
Uttarakhand,2004,Against others,0,1,1,0,0
West Bengal,2004,Against others,7,2,20,18,0
Andaman & Nicobar Islands,2005,Against others,0,0,0,0,0
Andhra Pradesh,2005,Against others,1,0,1,0,0
Arunachal Pradesh,2005,Against others,1,1,2,0,0
Assam,2005,Against others,0,0,0,0,0
Bihar,2005,Against others,0,5,8,0,0
Chandigarh,2005,Against others,0,0,0,0,0
Chhattisgarh,2005,Against others,0,4,4,2,0
Dadra & Nagar Haveli,2005,Against others,0,0,0,0,0
Daman & Diu,2005,Against others,0,0,0,0,0
Delhi,2005,Against others,0,1,3,0,0
Goa,2005,Against others,0,0,0,0,0
Gujarat,2005,Against others,0,3,8,1,0
Haryana,2005,Against others,0,0,0,1,0
Himachal Pradesh,2005,Against others,0,0,0,0,0
Jammu & Kashmir,2005,Against others,0,0,0,0,0
Jharkhand,2005,Against others,0,0,0,0,0
Karnataka,2005,Against others,2,3,3,0,0
Kerala,2005,Against others,0,0,0,0,0
Lakshadweep,2005,Against others,0,0,0,0,0
Madhya Pradesh,2005,Against others,1,8,12,2,1
Maharashtra,2005,Against others,2,17,19,3,0
Manipur,2005,Against others,0,0,0,0,0
Meghalaya,2005,Against others,0,1,2,0,0
Mizoram,2005,Against others,0,0,0,0,0
Nagaland,2005,Against others,0,0,0,0,0
Odisha,2005,Against others,0,0,0,0,0
Puducherry,2005,Against others,0,0,0,0,0
Punjab,2005,Against others,0,0,0,0,0
Rajasthan,2005,Against others,1,1,10,5,0
Sikkim,2005,Against others,0,0,0,0,0
Tamil Nadu,2005,Against others,0,1,1,0,0
Tripura,2005,Against others,0,0,0,0,0
Uttar Pradesh,2005,Against others,23,11,81,4,3
Uttarakhand,2005,Against others,2,9,6,1,0
West Bengal,2005,Against others,5,2,11,21,0
Andaman & Nicobar Islands,2006,Against others,0,0,0,0,0
Andhra Pradesh,2006,Against others,10,4,16,1,0
Arunachal Pradesh,2006,Against others,0,0,0,0,0
Assam,2006,Against others,0,0,0,0,0
Bihar,2006,Against others,0,1,7,3,1
Chandigarh,2006,Against others,0,0,0,0,0
Chhattisgarh,2006,Against others,0,0,0,0,0
Dadra & Nagar Haveli,2006,Against others,0,0,0,0,0
Daman & Diu,2006,Against others,0,0,0,0,0
Delhi,2006,Against others,0,0,0,0,0
Goa,2006,Against others,0,0,0,0,0
Gujarat,2006,Against others,10,8,9,24,0
Haryana,2006,Against others,0,0,1,0,0
Himachal Pradesh,2006,Against others,0,0,0,0,0
Jammu & Kashmir,2006,Against others,0,0,0,0,0
Jharkhand,2006,Against others,5,4,6,5,0
Karnataka,2006,Against others,0,1,2,1,0
Kerala,2006,Against others,0,0,0,0,0
Lakshadweep,2006,Against others,0,0,0,0,0
Madhya Pradesh,2006,Against others,1,3,28,0,0
Maharashtra,2006,Against others,2,18,24,3,0
Manipur,2006,Against others,0,0,0,0,0
Meghalaya,2006,Against others,0,1,1,0,0
Mizoram,2006,Against others,0,0,0,0,0
Nagaland,2006,Against others,0,0,0,0,0
Odisha,2006,Against others,0,0,0,0,0
Puducherry,2006,Against others,0,0,0,0,0
Punjab,2006,Against others,1,0,2,4,0
Rajasthan,2006,Against others,0,4,7,5,0
Sikkim,2006,Against others,0,0,0,0,0
Tamil Nadu,2006,Against others,3,7,14,20,0
Tripura,2006,Against others,0,0,0,0,0
Uttar Pradesh,2006,Against others,11,11,12,11,0
Uttarakhand,2006,Against others,0,1,4,0,0
West Bengal,2006,Against others,6,0,7,12,0
Andaman & Nicobar Islands,2007,Against others,0,0,0,0,0
Andhra Pradesh,2007,Against others,1,3,3,0,0
Arunachal Pradesh,2007,Against others,0,0,0,0,0
Assam,2007,Against others,0,0,0,0,0
Bihar,2007,Against others,0,3,3,0,0
Chandigarh,2007,Against others,0,0,0,0,0
Chhattisgarh,2007,Against others,0,1,1,0,0
Dadra & Nagar Haveli,2007,Against others,0,0,0,0,0
Daman & Diu,2007,Against others,0,0,0,0,0
Delhi,2007,Against others,0,0,0,38,0
Goa,2007,Against others,0,0,0,0,0
Gujarat,2007,Against others,2,0,6,10,0
Haryana,2007,Against others,0,0,0,0,0
Himachal Pradesh,2007,Against others,0,0,0,0,0
Jammu & Kashmir,2007,Against others,0,0,0,0,0
Jharkhand,2007,Against others,0,0,0,0,0
Karnataka,2007,Against others,0,0,1,1,0
Kerala,2007,Against others,0,0,0,0,0
Lakshadweep,2007,Against others,0,0,0,0,0
Madhya Pradesh,2007,Against others,0,4,9,2,0
Maharashtra,2007,Against others,3,14,19,3,0
Manipur,2007,Against others,0,0,0,0,0
Meghalaya,2007,Against others,1,0,1,0,0
Mizoram,2007,Against others,0,0,0,0,0
Nagaland,2007,Against others,0,0,0,0,0
Odisha,2007,Against others,0,0,0,0,0
Puducherry,2007,Against others,0,0,0,0,0
Punjab,2007,Against others,0,0,0,0,0
Rajasthan,2007,Against others,0,0,0,0,0
Sikkim,2007,Against others,0,0,0,0,0
Tamil Nadu,2007,Against others,1,4,8,7,0
Tripura,2007,Against others,0,0,0,0,0
Uttar Pradesh,2007,Against others,22,25,176,8,0
Uttarakhand,2007,Against others,0,0,0,0,0
West Bengal,2007,Against others,0,0,2,1,0
Andaman & Nicobar Islands,2008,Against others,0,0,0,0,0
Andhra Pradesh,2008,Against others,4,5,6,0,0
Arunachal Pradesh,2008,Against others,0,0,0,0,0
Assam,2008,Against others,0,1,1,0,0
Bihar,2008,Against others,0,0,0,0,0
Chandigarh,2008,Against others,0,0,0,0,0
Chhattisgarh,2008,Against others,0,0,34,5,4
Dadra & Nagar Haveli,2008,Against others,0,0,0,0,0
Daman & Diu,2008,Against others,0,0,0,0,0
Delhi,2008,Against others,0,0,0,64,0
Goa,2008,Against others,0,0,0,0,0
Gujarat,2008,Against others,0,0,4,1,0
Haryana,2008,Against others,0,0,0,0,0
Himachal Pradesh,2008,Against others,0,0,0,0,0
Jammu & Kashmir,2008,Against others,93,12,60,155,0
Jharkhand,2008,Against others,0,2,1,0,0
Karnataka,2008,Against others,0,3,1,51,22
Kerala,2008,Against others,1,0,3,0,0
Lakshadweep,2008,Against others,0,0,0,0,0
Madhya Pradesh,2008,Against others,0,1,1,0,0
Maharashtra,2008,Against others,2,18,15,4,0
Manipur,2008,Against others,0,0,0,0,0
Meghalaya,2008,Against others,0,0,0,0,0
Mizoram,2008,Against others,0,0,0,0,0
Nagaland,2008,Against others,0,0,0,0,0
Odisha,2008,Against others,0,0,7,7,0
Puducherry,2008,Against others,0,0,0,0,0
Punjab,2008,Against others,0,0,0,0,0
Rajasthan,2008,Against others,0,0,5,27,0
Sikkim,2008,Against others,0,0,0,0,0
Tamil Nadu,2008,Against others,1,8,11,11,0
Tripura,2008,Against others,0,0,0,0,0
Uttar Pradesh,2008,Against others,16,26,397,25,3
Uttarakhand,2008,Against others,0,0,0,0,0
West Bengal,2008,Against others,1,0,4,14,2
Andaman & Nicobar Islands,2009,Against others,0,0,0,0,0
Andhra Pradesh,2009,Against others,0,4,7,0,0
Arunachal Pradesh,2009,Against others,0,0,0,0,0
Assam,2009,Against others,0,0,0,0,0
Bihar,2009,Against others,0,0,0,0,0
Chandigarh,2009,Against others,0,0,0,9,5
Chhattisgarh,2009,Against others,0,1,1,0,0
Dadra & Nagar Haveli,2009,Against others,0,0,0,0,0
Daman & Diu,2009,Against others,0,0,0,0,0
Delhi,2009,Against others,9,0,0,36,0
Goa,2009,Against others,0,0,1,0,0
Gujarat,2009,Against others,0,3,4,1,0
Haryana,2009,Against others,0,0,0,0,0
Himachal Pradesh,2009,Against others,0,0,0,0,0
Jammu & Kashmir,2009,Against others,66,4,58,32,4
Jharkhand,2009,Against others,0,0,1,0,0
Karnataka,2009,Against others,0,0,1,0,0
Kerala,2009,Against others,0,0,0,0,0
Lakshadweep,2009,Against others,0,0,0,0,0
Madhya Pradesh,2009,Against others,8,5,3,41,0
Maharashtra,2009,Against others,3,15,21,33,2
Manipur,2009,Against others,0,0,0,0,0
Meghalaya,2009,Against others,0,0,0,0,0
Mizoram,2009,Against others,0,0,0,0,0
Nagaland,2009,Against others,0,0,0,0,0
Odisha,2009,Against others,0,0,0,0,0
Puducherry,2009,Against others,0,0,0,0,0
Punjab,2009,Against others,0,0,0,0,0
Rajasthan,2009,Against others,8,3,6,11,0
Sikkim,2009,Against others,0,0,0,0,0
Tamil Nadu,2009,Against others,0,1,2,8,0
Tripura,2009,Against others,0,0,0,0,0
Uttar Pradesh,2009,Against others,82,23,524,16,13
Uttarakhand,2009,Against others,0,0,0,0,0
West Bengal,2009,Against others,20,0,6,26,0
Andaman & Nicobar Islands,2010,Against others,0,0,0,0,0
Andhra Pradesh,2010,Against others,3,3,2,0,0
Arunachal Pradesh,2010,Against others,0,0,0,0,0
Assam,2010,Against others,0,0,0,0,0
Bihar,2010,Against others,0,0,0,0,0
Chandigarh,2010,Against others,0,0,0,8,0
Chhattisgarh,2010,Against others,7,1,4,4,0
Dadra & Nagar Haveli,2010,Against others,0,0,0,0,0
Daman & Diu,2010,Against others,0,0,0,0,0
Delhi,2010,Against others,0,0,0,0,0
Goa,2010,Against others,0,0,0,0,0
Gujarat,2010,Against others,0,1,2,2,0
Haryana,2010,Against others,0,0,0,0,0
Himachal Pradesh,2010,Against others,0,0,0,0,0
Jammu & Kashmir,2010,Against others,3,0,1,2,0
Jharkhand,2010,Against others,0,2,21,5,9
Karnataka,2010,Against others,1,0,1,0,0
Kerala,2010,Against others,0,0,3,9,0
Lakshadweep,2010,Against others,0,0,0,0,0
Madhya Pradesh,2010,Against others,1,0,2,6,0
Maharashtra,2010,Against others,1,8,11,3,0
Manipur,2010,Against others,0,0,0,0,0
Meghalaya,2010,Against others,0,0,0,0,0
Mizoram,2010,Against others,0,0,0,0,0
Nagaland,2010,Against others,0,0,0,0,0
Odisha,2010,Against others,0,2,5,8,1
Puducherry,2010,Against others,0,0,0,0,0
Punjab,2010,Against others,1,2,1,0,0
Rajasthan,2010,Against others,13,2,9,3,1
Sikkim,2010,Against others,0,0,0,0,0
Tamil Nadu,2010,Against others,0,8,7,14,2
Tripura,2010,Against others,0,0,0,0,0
Uttar Pradesh,2010,Against others,14,28,362,9,3
Uttarakhand,2010,Against others,0,0,0,0,0
West Bengal,2010,Against others,2,0,2,0,0
Andaman & Nicobar Islands,2001,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2001,Anti Dacoity Operations,0,9,7,0,0
Arunachal Pradesh,2001,Anti Dacoity Operations,0,0,0,0,0
Assam,2001,Anti Dacoity Operations,2,1,2,0,0
Bihar,2001,Anti Dacoity Operations,2,3,9,1,0
Chandigarh,2001,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2001,Anti Dacoity Operations,4,0,3,0,0
Dadra & Nagar Haveli,2001,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2001,Anti Dacoity Operations,0,0,0,0,0
Delhi,2001,Anti Dacoity Operations,0,0,1,8,0
Goa,2001,Anti Dacoity Operations,0,0,0,0,0
Gujarat,2001,Anti Dacoity Operations,0,0,0,0,0
Haryana,2001,Anti Dacoity Operations,1,0,1,0,0
Himachal Pradesh,2001,Anti Dacoity Operations,0,0,0,0,0
Jammu & Kashmir,2001,Anti Dacoity Operations,0,0,0,0,0
Jharkhand,2001,Anti Dacoity Operations,0,0,0,0,0
Karnataka,2001,Anti Dacoity Operations,0,2,2,1,0
Kerala,2001,Anti Dacoity Operations,0,0,0,0,0
Lakshadweep,2001,Anti Dacoity Operations,0,0,0,0,0
Madhya Pradesh,2001,Anti Dacoity Operations,0,16,28,2,1
Maharashtra,2001,Anti Dacoity Operations,0,2,4,2,0
Manipur,2001,Anti Dacoity Operations,0,0,0,0,0
Meghalaya,2001,Anti Dacoity Operations,0,0,0,0,0
Mizoram,2001,Anti Dacoity Operations,0,0,0,0,0
Nagaland,2001,Anti Dacoity Operations,0,0,0,0,0
Odisha,2001,Anti Dacoity Operations,0,0,0,0,0
Puducherry,2001,Anti Dacoity Operations,0,0,0,0,0
Punjab,2001,Anti Dacoity Operations,0,0,0,0,0
Rajasthan,2001,Anti Dacoity Operations,0,10,8,1,0
Sikkim,2001,Anti Dacoity Operations,0,0,0,0,0
Tamil Nadu,2001,Anti Dacoity Operations,0,0,0,0,0
Tripura,2001,Anti Dacoity Operations,0,0,0,0,0
Uttar Pradesh,2001,Anti Dacoity Operations,5,101,93,17,7
Uttarakhand,2001,Anti Dacoity Operations,0,0,0,0,0
West Bengal,2001,Anti Dacoity Operations,7,14,19,15,0
Andaman & Nicobar Islands,2002,Anti Dacoity Operations,0,0,0,0,0
Andhra Pradesh,2002,Anti Dacoity Operations,0,3,4,3,0
Arunachal Pradesh,2002,Anti Dacoity Operations,0,0,0,0,0
Assam,2002,Anti Dacoity Operations,0,1,1,0,0
Bihar,2002,Anti Dacoity Operations,2,3,11,3,0
Chandigarh,2002,Anti Dacoity Operations,0,0,0,0,0
Chhattisgarh,2002,Anti Dacoity Operations,0,0,0,0,0
Dadra & Nagar Haveli,2002,Anti Dacoity Operations,0,0,0,0,0
Daman & Diu,2002,Anti Dacoity Operations,0,0,0,0,0
Delhi,2002,Anti Dacoity Operations,0,0,0,0,0
