state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
Maharashtra,"Arms Act, 1959",14,1,933,2,384,4,64,0,6,0,1401,7,1408
Manipur,"Arms Act, 1959",0,0,8,0,10,0,3,0,0,1,21,1,22
Meghalaya,"Arms Act, 1959",0,0,21,0,5,0,0,0,1,0,27,0,27
Mizoram,"Arms Act, 1959",0,0,14,0,31,2,12,1,1,0,58,3,61
Nagaland,"Arms Act, 1959",1,0,139,2,99,3,18,0,4,1,261,6,267
Odisha,"Arms Act, 1959",0,0,627,9,459,3,142,0,10,0,1238,12,1250
Punjab,"Arms Act, 1959",2,0,348,0,287,2,103,0,0,0,740,2,742
Rajasthan,"Arms Act, 1959",12,0,2888,0,1983,0,582,0,36,0,5501,0,5501
Sikkim,"Arms Act, 1959",0,0,0,0,2,0,0,0,0,0,2,0,2
Tamil Nadu,"Arms Act, 1959",5,0,104,0,138,0,35,1,2,0,284,1,285
Tripura,"Arms Act, 1959",0,0,19,0,4,0,0,0,0,0,23,0,23
Uttar Pradesh,"Arms Act, 1959",39,0,13971,0,7443,5,1520,0,5,0,22978,5,22983
Uttarakhand,"Arms Act, 1959",7,0,280,0,281,0,32,0,0,0,600,0,600
West Bengal,"Arms Act, 1959",12,0,1341,1,1479,0,352,0,1,0,3185,1,3186
Total (State),"Arms Act, 1959",239,2,32475,18,20082,31,4634,4,134,2,57564,57,57621
A&N Islands,"Arms Act, 1959",0,0,0,0,4,0,1,0,0,0,5,0,5
Chandigarh,"Arms Act, 1959",1,0,9,0,8,0,4,0,0,0,22,0,22
D&N Haveli,"Arms Act, 1959",0,0,1,0,0,0,0,0,0,0,1,0,1
Daman & Diu,"Arms Act, 1959",0,0,1,0,0,0,0,0,0,0,1,0,1
Delhi UT,"Arms Act, 1959",2,0,788,7,261,6,22,0,0,0,1073,13,1086
