area_name,year,ac01_no_of_cases_pending_investigation_from_previous_year,ac02_no_of_cases_registered_during_the_year,ac03_total_no_of_cases_for_investigation_during_the_year,ac04_no_of_cases_investigated_during_the_year,ac05_no_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,ac06_no_of_cases_transferred_to_local_police_during_the_year,ac07_no_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,ac08_no_of_cases_in_which_charge_sheets_were_laid_during_the_year,ac09_no_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,ac10_no_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,ac11_no_of_cases_reported_for_regular_departmental_action_during_the_year,ac12_no_of_cases_reported_for_suitable_action_during_the_year,ac13_no_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,ac14_no_of_cases_pending_investigation_at_the_end_of_the_year,ac15_no_of_cases_resulted_in_recoveries_or_seizures_during_the_year,ac16_value_of_property_recoveredseized_during_the_year_in_rs,ac17_percentage_of_cases_charge_sheeted_to_total_cases_investigated,ac18_no_of_cases_pending_trial_from_the_previous_year,ac19_no_of_cases_sent_up_for_trial_during_the_year,ac20_total_no_of_cases_for_trial_during_the_year,ac21_no_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,ac22_no_of_cases_in_which_trials_were_completed_during_the_year,ac23_no_of_cases_convicted_during_the_year,ac24_no_of_cases_acquitted_or_discharged_during_the_year,ac25_no_of_cases_pending_trial_at_the_end_of_the_year,ac26_percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,ac27_total_amount_of_fine_imposed_during_the_year_in_rs
Maharashtra,2009,814.0000,414.0000,1228.0000,1228.0000,2.0000,0.0000,6.0000,485.0000,218.0000,0.0000,13.0000,0.0000,22.0000,724.0000,149.0000,2922090.0000,0.0000,2042.0000,485.0000,2527.0000,12.0000,473.0000,106.0000,367.0000,2042.0000,0.0000,727950.0000
Karnataka,2009,623.0000,395.0000,1018.0000,1018.0000,0.0000,0.0000,29.0000,294.0000,182.0000,160.0000,12.0000,37.0000,70.0000,696.0000,154.0000,25136051.0000,29.0000,844.0000,294.0000,1138.0000,10.0000,153.0000,27.0000,116.0000,985.0000,18.8000,206000.0000
Maharashtra,2008,801.0000,390.0000,1191.0000,1191.0000,0.0000,0.0000,2.0000,368.0000,261.0000,0.0000,6.0000,0.0000,33.0000,814.0000,139.0000,3240955.0000,0.0000,2171.0000,368.0000,2539.0000,3.0000,494.0000,116.0000,378.0000,2042.0000,0.0000,840350.0000
Karnataka,2008,330.0000,389.0000,719.0000,719.0000,10.0000,12.0000,32.0000,164.0000,119.0000,81.0000,4.0000,81.0000,70.0000,623.0000,370.0000,59166948.0000,22.9000,805.0000,164.0000,969.0000,3.0000,122.0000,17.0000,105.0000,844.0000,13.1000,281391.0000
Punjab,2004,476.0000,384.0000,860.0000,343.0000,57.0000,1.0000,10.0000,290.0000,136.0000,131.0000,0.0000,38.0000,0.0000,476.0000,0.0000,0.0000,0.0000,936.0000,290.0000,1226.0000,10.0000,222.0000,100.0000,122.0000,994.0000,0.0000,1035500.0000
Rajasthan,2006,1006.0000,377.0000,1383.0000,1383.0000,0.0000,0.0000,0.0000,351.0000,245.0000,134.0000,134.0000,0.0000,159.0000,873.0000,251.0000,984840.0000,0.0000,1157.0000,351.0000,1508.0000,0.0000,181.0000,44.0000,137.0000,1327.0000,24.3000,227400.0000
Odisha,2009,536.0000,375.0000,911.0000,911.0000,0.0000,0.0000,29.0000,229.0000,120.0000,133.0000,36.0000,5.0000,5.0000,656.0000,161.0000,20247272.0000,0.0000,2541.0000,229.0000,2770.0000,18.0000,129.0000,68.0000,81.0000,2523.0000,0.0000,2538400.0000
Tamil Nadu,2010,492.0000,354.0000,846.0000,846.0000,0.0000,0.0000,0.0000,258.0000,91.0000,73.0000,100.0000,151.0000,167.0000,390.0000,166.0000,3506607.0000,0.0000,399.0000,258.0000,657.0000,15.0000,65.0000,24.0000,41.0000,577.0000,0.0000,157650.0000
Rajasthan,2007,873.0000,350.0000,1223.0000,1223.0000,0.0000,0.0000,0.0000,269.0000,262.0000,292.0000,292.0000,0.0000,125.0000,836.0000,219.0000,1227600.0000,0.0000,1327.0000,269.0000,1596.0000,0.0000,159.0000,56.0000,101.0000,1439.0000,0.0000,630400.0000
Andhra Pradesh,2002,302.0000,345.0000,647.0000,287.0000,6.0000,1.0000,0.0000,322.0000,24.0000,0.0000,64.0000,1.0000,66.0000,353.0000,264.0000,1082280.0000,0.0000,630.0000,322.0000,952.0000,0.0000,88.0000,47.0000,41.0000,864.0000,0.0000,62900.0000
