area_name,year,group_name,sub_group_name,ph_houses_provided_by_department,ph_houses_provided_on_leaserentgpra,ph_sanctioned_strength
Mizoram,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),221,NULL,52
Nagaland,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),22,7,124
Odisha,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),165,77,416
Puducherry,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),14,1,20
Punjab,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),47,NULL,628
Rajasthan,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,740
Sikkim,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),8,9,66
Tamil Nadu,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),224,0,895
Tripura,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),40,NULL,344
Uttar Pradesh,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),229,395,1590
Uttarakhand,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),13,0,126
West Bengal,2002,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),521,10,660
Andaman & Nicobar Islands,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),7,4,17
Andhra Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),30,NULL,475
Arunachal Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),88,7,95
Assam,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),77,1,531
Bihar,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),144,73,495
Chandigarh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),10,0,17
Chhattisgarh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),22,77,372
Dadra & Nagar Haveli,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),NULL,1,2
Daman & Diu,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),3,1,3
Delhi,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),209,0,371
Goa,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),4,9,34
Gujarat,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),92,34,376
Haryana,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),139,19,281
Himachal Pradesh,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),43,21,197
Jammu & Kashmir,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),73,0,569
Jharkhand,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),20,16,57
Karnataka,2003,PH_Officers (DySP & Above),1. For Officers (Dy.SP & Above),108,33,272
