area_name,year,group_name,sub_group_name,cd_deaths_reported,cd_no_of_autopsy_conducted,cd_no_of_cases_registered_in_connection_with_deaths,cd_no_of_judicial_enquiry_orderedconducted,cd_no_of_magisterial_enquiry_orderedconducted,cd_no_of_policemen_charge_sheeted,cd_no_of_policemen_convicted
West Bengal,2002,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Andhra Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,0,0
Assam,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Bihar,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,2,2,0,2,0,0
Chandigarh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Chhattisgarh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,0,0,1,0,0
Daman & Diu,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Gujarat,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,4,2,1,2,0,0
Haryana,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Himachal Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Karnataka,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Madhya Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,1,,,1,,
Maharashtra,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,9,9,0,0,0,0,0
Meghalaya,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,1,0,1,0,1,1,0
Mizoram,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,,2,,2,,
Nagaland,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Odisha,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,0,0,0,0,0,0
Punjab,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,1,2,0,3,2,0
Tamil Nadu,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,0,,,,,,
Uttar Pradesh,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,5,5,5,1,4,1,
West Bengal,2003,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,3,3,0,0,3,0,0
Andhra Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,11,11,11,0,11,1,0
Arunachal Pradesh,2004,Persons Remand to Police Custody by Court,1. Deaths in Custody/Lockup of Persons Remanded to Police Custody by Court,2,0,1,0,2,0,0
