state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
KARNATAKA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",3687,33469,913,4233,32010,56712,88722,4068,60085,24569,902,23667
KERALA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",6056,29634,0,5227,30463,115434,145897,2527,124340,19030,2236,16794
MADHYA PRADESH,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",225,72369,0,187,72407,235064,307471,26323,239407,41741,18182,23559
MAHARASHTRA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",15190,58180,25,16335,57010,537309,594319,8137,543366,42816,1959,40857
MANIPUR,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",185,142,144,179,4,56,60,0,57,3,2,1
MEGHALAYA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",144,127,16,137,118,882,1000,0,934,66,7,59
MIZORAM,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",29,123,0,38,114,116,230,1,135,94,79,15
NAGALAND,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",22,21,5,14,24,36,60,2,23,35,28,7
ODISHA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",719,11588,5,633,11669,63523,75192,0,66067,9125,561,8564
PUNJAB,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",5633,8460,404,6780,6909,26887,33796,7,25390,8399,2337,6062
RAJASTHAN,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",17,30861,0,6,30872,129873,160745,11799,124370,24576,15958,8618
SIKKIM,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",53,125,30,53,95,24,119,2,65,52,33,19
TAMIL NADU,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",16719,36059,889,16774,35115,64473,99588,34,72828,26726,10736,15990
TRIPURA,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",686,2055,264,348,2129,1492,3621,0,2257,1364,178,1186
UTTAR PRADESH,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",1267,34875,1883,1168,33091,92779,125870,5594,105583,14693,7282,7411
UTTARAKHAND,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",84,1401,2,90,1393,3594,4987,1013,3330,644,397,247
WEST BENGAL,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",3140,20802,1057,3174,19711,47459,67170,1238,60178,5754,830,4924
TOTAL (STATES),"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",94992,567637,10333,99418,552878,2006096,2558974,92622,2121655,344697,89821,254876
A & N ISLANDS,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",79,85,0,67,97,1093,1190,0,1133,57,18,39
CHANDIGARH,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",47,66,1,16,96,340,436,0,336,100,27,73
D & N HAVELI,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",13,57,0,14,56,360,416,0,372,44,0,44
DAMAN & DIU,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",10,28,0,6,32,37,69,4,58,7,0,7
DELHI,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",1972,3092,125,1719,3220,28215,31435,0,28849,2586,1061,1525
LAKSHADWEEP,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",76,5,0,78,3,1,4,0,3,1,0,1
PUDUCHERRY,"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",41,1629,0,204,1466,2415,3881,37,2945,899,355,544
TOTAL (UTs),"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",2238,4962,126,2104,4970,32461,37431,41,33696,3694,1461,2233
TOTAL (ALL-INDIA),"HURT (SECTION 323, 324 TO 333, 335 TO 338 IPC)",97230,572599,10459,101522,557848,2038557,2596405,92663,2155351,348391,91282,257109
ANDHRA PRADESH,DOWRY DEATHS (SECTION 304B IPC),667,1267,0,543,1391,2664,4055,5,2875,1175,146,1029
ARUNACHAL PRADESH,DOWRY DEATHS (SECTION 304B IPC),0,2,0,2,0,0,0,0,0,0,0,0
ASSAM,DOWRY DEATHS (SECTION 304B IPC),339,215,61,340,153,635,788,0,718,70,18,52
BIHAR,DOWRY DEATHS (SECTION 304B IPC),3251,3994,21,3483,3741,13343,17084,0,15130,1954,314,1640
CHHATTISGARH,DOWRY DEATHS (SECTION 304B IPC),3,211,0,1,213,946,1159,0,889,270,106,164
GOA,DOWRY DEATHS (SECTION 304B IPC),2,0,0,0,2,26,28,0,28,0,0,0
GUJARAT,DOWRY DEATHS (SECTION 304B IPC),4,38,0,4,38,1658,1696,0,1628,68,0,68
HARYANA,DOWRY DEATHS (SECTION 304B IPC),53,481,0,66,468,1156,1624,0,1171,453,125,328
HIMACHAL PRADESH,DOWRY DEATHS (SECTION 304B IPC),0,4,0,0,4,80,84,0,74,10,0,10
JAMMU & KASHMIR,DOWRY DEATHS (SECTION 304B IPC),5,23,0,5,23,144,167,0,153,14,2,12
JHARKHAND,DOWRY DEATHS (SECTION 304B IPC),475,444,0,429,490,973,1463,4,1003,456,173,283
KARNATAKA,DOWRY DEATHS (SECTION 304B IPC),119,539,6,113,539,1913,2452,5,1942,505,62,443
KERALA,DOWRY DEATHS (SECTION 304B IPC),17,38,1,24,30,327,357,3,331,23,2,21
MADHYA PRADESH,DOWRY DEATHS (SECTION 304B IPC),42,2142,0,38,2146,6522,8668,51,7007,1610,536,1074
MAHARASHTRA,DOWRY DEATHS (SECTION 304B IPC),505,1141,2,515,1129,10730,11859,16,11242,601,85,516
MANIPUR,DOWRY DEATHS (SECTION 304B IPC),5,0,0,5,0,0,0,0,0,0,0,0
MEGHALAYA,DOWRY DEATHS (SECTION 304B IPC),3,4,0,7,0,13,13,0,13,0,0,0
MIZORAM,DOWRY DEATHS (SECTION 304B IPC),0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DOWRY DEATHS (SECTION 304B IPC),0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DOWRY DEATHS (SECTION 304B IPC),181,903,0,209,875,2811,3686,0,2943,743,45,698
PUNJAB,DOWRY DEATHS (SECTION 304B IPC),401,274,15,437,223,813,1036,0,820,216,109,107
RAJASTHAN,DOWRY DEATHS (SECTION 304B IPC),20,631,0,22,629,3002,3631,32,3106,493,196,297
SIKKIM,DOWRY DEATHS (SECTION 304B IPC),2,9,2,5,4,0,4,0,4,0,0,0
TAMIL NADU,DOWRY DEATHS (SECTION 304B IPC),351,278,6,280,343,987,1330,0,1040,290,59,231
TRIPURA,DOWRY DEATHS (SECTION 304B IPC),20,87,19,39,49,82,131,0,104,27,8,19
UTTAR PRADESH,DOWRY DEATHS (SECTION 304B IPC),1462,9884,3307,1803,6236,21917,28153,107,24143,3903,1936,1967
UTTARAKHAND,DOWRY DEATHS (SECTION 304B IPC),55,147,0,13,189,542,731,0,468,263,144,119
WEST BENGAL,DOWRY DEATHS (SECTION 304B IPC),627,1345,49,578,1345,3592,4937,3,3854,1080,79,1001
TOTAL (STATES),DOWRY DEATHS (SECTION 304B IPC),8609,24101,3489,8961,20260,74876,95136,226,80686,14224,4145,10079
A & N ISLANDS,DOWRY DEATHS (SECTION 304B IPC),0,3,0,0,3,5,8,0,8,0,0,0
CHANDIGARH,DOWRY DEATHS (SECTION 304B IPC),3,14,0,2,15,6,21,0,8,13,3,10
D & N HAVELI,DOWRY DEATHS (SECTION 304B IPC),0,0,0,0,0,4,4,0,4,0,0,0
DAMAN & DIU,DOWRY DEATHS (SECTION 304B IPC),0,0,0,0,0,0,0,0,0,0,0,0
DELHI,DOWRY DEATHS (SECTION 304B IPC),202,300,9,176,317,2121,2438,0,2134,304,148,156
LAKSHADWEEP,DOWRY DEATHS (SECTION 304B IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DOWRY DEATHS (SECTION 304B IPC),8,0,0,3,5,17,22,0,21,1,0,1
TOTAL (UTs),DOWRY DEATHS (SECTION 304B IPC),213,317,9,181,340,2153,2493,0,2175,318,151,167
TOTAL (ALL-INDIA),DOWRY DEATHS (SECTION 304B IPC),8822,24418,3498,9142,20600,77029,97629,226,82861,14542,4296,10246
ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),1364,4834,0,1471,4727,7351,12078,522,8192,3364,419,2945
ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),41,77,13,53,52,459,511,2,478,31,12,19
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),1337,2250,880,1497,1210,2492,3702,25,2753,924,97,827
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),585,278,35,189,639,3556,4195,97,3489,609,59,550
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),61,1891,0,73,1879,8425,10304,189,8609,1506,491,1015
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),14,42,1,31,24,114,138,0,120,18,1,17
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),69,1118,0,78,1109,10312,11421,53,10673,695,8,687
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),65,698,0,30,733,2402,3135,0,2402,733,147,586
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),50,317,0,35,332,1969,2301,55,1995,251,33,218
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),10,2814,0,10,2814,12757,15571,688,12386,2497,155,2342
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),109,355,0,109,355,727,1082,7,721,354,149,205
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),550,3982,63,608,3861,7583,11444,277,8350,2817,174,2643
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),474,4167,1,509,4131,14677,18808,140,16466,2202,285,1917
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),11,8085,0,34,8062,27063,35125,2272,28080,4773,1655,3118
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),1323,4885,10,1475,4723,34065,38788,758,35042,2988,256,2732
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),52,34,29,50,7,10,17,0,17,0,0,0
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),22,45,1,32,34,219,253,0,244,9,2,7
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),5,82,0,9,78,71,149,0,80,69,47,22
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),4,16,1,4,15,10,25,0,13,12,12,0
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),288,6060,31,438,5879,24969,30848,0,28413,2435,246,2189
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),333,413,19,443,284,1191,1475,0,1222,253,79,174
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),4,2658,0,6,2656,14322,16978,651,14173,2154,1145,1009
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),12,17,12,8,9,28,37,1,29,7,1,6
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),1018,2091,66,1069,1974,4704,6678,0,5483,1195,387,808
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),107,375,29,86,367,225,592,0,247,345,44,301
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),205,5143,590,347,4411,10053,14464,127,11854,2483,1506,977
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),6,199,0,8,197,624,821,22,590,209,168,41
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),571,2879,133,420,2897,12653,15550,87,14268,1195,138,1057
TOTAL (STATES),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),8690,55805,1914,9122,53459,203031,256490,5973,216389,34128,7716,26412
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),16,20,0,22,14,264,278,0,265,13,1,12
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),7,54,0,33,28,104,132,0,107,25,1,24
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),1,2,0,1,2,33,35,0,30,5,1,4
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),5,0,0,5,0,1,1,0,0,1,0,1
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),676,939,31,698,886,4990,5876,0,4867,1009,452,557
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),21,7,0,15,13,315,328,0,262,66,12,54
TOTAL (UTs),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),726,1022,31,774,943,5707,6650,0,5531,1119,467,652
TOTAL (ALL-INDIA),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),9416,56827,1945,9896,54402,208738,263140,5973,221920,35247,8183,27064
ANDHRA PRADESH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),591,4348,0,862,4077,4666,8743,826,5427,2490,690,1800
ARUNACHAL PRADESH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,17,17,0,17,0,0,0
ASSAM,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),28,12,5,27,8,9,17,0,16,1,0,1
BIHAR,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),3,39,2,0,40,69,109,7,77,25,0,25
CHHATTISGARH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),2,193,0,0,195,861,1056,0,899,157,38,119
GOA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),13,17,1,21,8,38,46,1,41,4,1,3
GUJARAT,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),6,117,0,3,120,1429,1549,3,1445,101,16,85
HARYANA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),43,558,0,24,577,1472,2049,0,1503,546,313,233
HIMACHAL PRADESH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),3,91,0,15,79,279,358,9,333,16,2,14
JAMMU & KASHMIR,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),3,447,0,3,447,2025,2472,7,2026,439,149,290
JHARKHAND,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),8,51,0,30,29,67,96,0,80,16,6,10
KARNATAKA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),1,147,0,11,137,100,237,0,124,113,2,111
KERALA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),55,538,0,77,516,1494,2010,15,1707,288,101,187
MADHYA PRADESH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),4,1056,0,2,1058,2524,3582,197,2829,556,190,366
MAHARASHTRA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),306,1548,5,416,1433,10960,12393,295,11404,694,34,660
MANIPUR,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),1,0,0,1,0,1,1,0,1,0,0,0
MEGHALAYA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,1,1,0,1,0,0,0
MIZORAM,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,1,0,0,1,0,1,0,0,1,1,0
NAGALAND,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,2,2,0,2,0,0,0
ODISHA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),38,376,0,43,371,1788,2159,0,1899,260,23,237
PUNJAB,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),49,45,4,66,24,82,106,0,86,20,5,15
RAJASTHAN,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,20,0,0,20,88,108,0,97,11,4,7
SIKKIM,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),99,470,20,217,332,1448,1780,0,1363,417,154,263
TRIPURA,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,15,0,0,15,13,28,0,18,10,1,9
UTTAR PRADESH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),2,14,2,0,14,2490,2504,18,320,2166,1167,999
UTTARAKHAND,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),2,103,0,7,98,766,864,4,784,76,66,10
WEST BENGAL,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),102,617,69,244,406,167,573,21,317,235,99,136
TOTAL (STATES),INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),1359,10823,108,2069,10005,32856,42861,1403,32816,8642,3062,5580
A & N ISLANDS,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),5,6,0,7,4,46,50,0,49,1,0,1
CHANDIGARH,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),1,32,0,11,22,39,61,0,51,10,0,10
D & N HAVELI,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,4,4,0,2,2,0,2
DAMAN & DIU,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,2,2,0,0,2,0,2
DELHI,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),114,231,7,145,193,536,729,0,549,180,73,107
LAKSHADWEEP,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),8,17,0,2,23,127,150,0,120,30,1,29
TOTAL (UTs),INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),128,286,7,165,242,754,996,0,771,225,74,151
TOTAL (ALL-INDIA),INSULT TO MODESTY OF WOMEN(SECTION 509 IPC),1487,11109,115,2234,10247,33610,43857,1403,33587,8867,3136,5731
ANDHRA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),5465,21251,0,5377,21339,38048,59387,5158,39554,14675,1586,13089
ARUNACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),9,26,4,11,20,77,97,2,91,4,2,2
ASSAM,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),3619,5435,1703,3588,3763,7384,11147,272,8152,2723,287,2436
BIHAR,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),5436,6963,111,5318,6970,13712,20682,314,17857,2511,368,2143
CHHATTISGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),105,2581,0,111,2575,10174,12749,1020,9745,1984,604,1380
GOA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),29,54,4,59,20,148,168,0,147,21,1,20
GUJARAT,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),1063,19982,0,1407,19638,122491,142129,493,131733,9903,299,9604
HARYANA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),669,3606,0,636,3639,15012,18651,127,14197,4327,345,3982
HIMACHAL PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),112,505,7,91,519,3149,3668,192,3050,426,15,411
JAMMU & KASHMIR,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),11,634,0,11,634,1585,2219,205,1813,201,2,199
JHARKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),704,2207,5,1095,1811,2267,4078,77,2836,1165,251,914
KARNATAKA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),1027,6317,164,1261,5919,13399,19318,263,14745,4310,174,4136
KERALA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),993,6923,1,1203,6712,26731,33443,140,28944,4359,254,4105
MADHYA PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),75,11104,0,69,11110,35967,47077,2515,38448,6114,1937,4177
MAHARASHTRA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),6901,27379,40,7563,26677,187451,214128,2062,190956,21110,372,20738
MANIPUR,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),38,21,16,36,7,3,10,0,10,0,0,0
MEGHALAYA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),21,14,1,22,12,46,58,0,58,0,0,0
MIZORAM,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),0,7,0,0,7,1,8,0,0,8,7,1
NAGALAND,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),0,0,0,0,0,1,1,0,1,0,0,0
ODISHA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),649,4699,9,435,4904,16362,21266,0,18636,2630,256,2374
PUNJAB,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),1546,2288,161,2183,1490,8844,10334,0,9029,1305,408,897
RAJASTHAN,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),151,9949,0,131,9969,43468,53437,2060,44849,6528,2341,4187
SIKKIM,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),3,6,1,4,4,16,20,0,10,10,6,4
TAMIL NADU,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),1371,4019,63,2235,3092,7115,10207,2,7841,2364,495,1869
TRIPURA,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),583,1147,152,282,1296,1988,3284,0,1686,1598,270,1328
UTTAR PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),4169,36115,9519,11076,19689,54863,74552,1771,62614,10167,5105,5062
UTTARAKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),29,484,7,120,386,2609,2995,82,2577,336,175,161
WEST BENGAL,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),5879,22911,1445,4262,23083,95405,118488,412,109132,8944,377,8567
TOTAL (STATES),CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),40657,196627,13413,48586,175285,708316,883601,17167,758711,107723,15937,91786
A & N ISLANDS,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),3,4,0,4,3,140,143,0,140,3,0,3
CHANDIGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),34,86,1,26,93,477,570,0,474,96,17,79
D & N HAVELI,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),4,0,0,0,4,44,48,0,44,4,0,4
DAMAN & DIU,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),0,11,0,3,8,42,50,0,31,19,0,19
DELHI,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),79,1026,41,438,626,14766,15392,0,13989,1403,448,955
LAKSHADWEEP,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),0,1,0,1,0,2,2,2,0,0,0,0
PUDUCHERRY,CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),10,7,0,6,11,66,77,0,56,21,0,21
TOTAL (UTs),CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),130,1135,42,478,745,15537,16282,2,14734,1546,465,1081
TOTAL (ALL-INDIA),CRUELTY BY HUSBAND OR HIS RELATIVES (SECTION 498A IPC),40787,197762,13455,49064,176030,723853,899883,17169,773445,109269,16402,92867
ANDHRA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,2,2,0,2,0,0,0
ARUNACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,2,0,2,0,4,4,0,2,2,0,2
BIHAR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),13,6,0,15,4,415,419,0,354,65,7,58
CHHATTISGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),1,0,0,0,1,12,13,1,11,1,1,0
GOA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),10,3,0,10,3,20,23,1,19,3,1,2
KARNATAKA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,2,2,0,2,0,0,0
KERALA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY (SECTION 366B IPC),0,0,0,0,0,0,0,0,0,0,0,0
