area_name,year,group_name,sub_group_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen
Tripura,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,63,71
Uttar Pradesh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,934,4126
Uttarakhand,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,64,253
West Bengal,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64,423,2704
Andaman & Nicobar Islands,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,2,3
Andhra Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,38,1636,3865
Arunachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,11,49
Assam,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,58,497
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16,243,1183
Chandigarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,131,274
Chhattisgarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,325,752
Dadra & Nagar Haveli,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4,10
Daman & Diu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,8,26
Delhi,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257,586,3360
Goa,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,39,124
Gujarat,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,347,1770,6131
Haryana,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80,929,1989
Himachal Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,31,78
Jammu & Kashmir,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,73,301
Jharkhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,24,137
Karnataka,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,93,1040,3597
Kerala,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,440,1070
Lakshadweep,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1,1,1
Madhya Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1266,4291
Maharashtra,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,597,2116,7078
Manipur,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,107
Meghalaya,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,41
Mizoram,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,29,31
Nagaland,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,46,197
Odisha,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94,248,752
Puducherry,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,63,63,284
Punjab,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,206,327,818
Rajasthan,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,37,820,4482
Tamil Nadu,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,1107,3013,4317
Tripura,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6,52
Uttar Pradesh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,21,920,3376
Uttarakhand,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,83,269
West Bengal,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,29,374,2049
Andaman & Nicobar Islands,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,8
Andhra Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,254,1705,3857
Arunachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,31,75
Assam,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,84,551
Bihar,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,257,1829
Chandigarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,112,364
Chhattisgarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,416,1131
Dadra & Nagar Haveli,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,8,15
Daman & Diu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,4,10
Delhi,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,125,871,4342
Goa,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,38,112
Gujarat,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,456,1798,6075
Haryana,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1013,2420
Himachal Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6,42,82
Jammu & Kashmir,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,9,76,313
Jharkhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,57,597
Karnataka,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,113,1146,4578
Kerala,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,497,1233
Madhya Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,160,1527,5481
Maharashtra,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,323,2832,8748
Manipur,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,106
Meghalaya,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,9,38
Mizoram,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,0,0
Nagaland,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,10,24
Odisha,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,145,344,1300
Puducherry,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,176,313
Punjab,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,165,267,629
Rajasthan,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,84,1263,5434
Tamil Nadu,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2357,2561,3645
Tripura,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,12,28
Uttar Pradesh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25,1315,6449
Uttarakhand,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,91,387
West Bengal,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,358,2093
Andaman & Nicobar Islands,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5,5
Andhra Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,2360,4659
Arunachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,32,117
Assam,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,11,181,551
Bihar,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,197,1983
Chandigarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,129,368
Chhattisgarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,522,1426
Dadra & Nagar Haveli,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,3,14
Daman & Diu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,4,5,18
Delhi,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,143,997,4574
Goa,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,49,158
Gujarat,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,353,1517,6199
Haryana,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1227,3696
Himachal Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,27,65
Jammu & Kashmir,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,52,291
Jharkhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,6,108,476
Karnataka,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,81,1054,5073
Kerala,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,14,367,1203
Madhya Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,1740,5741
Maharashtra,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,319,2479,9518
Manipur,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,7,90
Meghalaya,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,4,23
Mizoram,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,0,0
Nagaland,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,39,170
Odisha,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,405,1525
Puducherry,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,138,138,224
Punjab,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,152,319,695
Rajasthan,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260,1027,5425
Sikkim,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,1,1
Tamil Nadu,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2215,2353,3108
Tripura,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,6,52
Uttar Pradesh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,64,1292,5895
Uttarakhand,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,100,339
West Bengal,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,25,398,2166
Andaman & Nicobar Islands,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,,5,5
Andhra Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,79,1754,4554
Arunachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,22,74
Assam,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,16,248,674
Bihar,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,275,1700
Chandigarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,117,361
Chhattisgarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,80,630,1910
Dadra & Nagar Haveli,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,7,12
Daman & Diu,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,0,3,19
Delhi,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,105,953,4627
Goa,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,7,52,170
Gujarat,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,423,1437,6409
Haryana,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,2,1556,4641
Himachal Pradesh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,32,38,74
Jammu & Kashmir,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,10,74,287
Jharkhand,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,5,235,1118
Karnataka,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,82,1046,4808
