area_name,year,group_name,sub_group_name,cases_property_recovered,cases_property_stolen,value_of_property_recovered,value_of_property_stolen
Andaman & Nicobar Islands,2001,Cattle - Property,2. Cattle,0,1,0,1000
Andhra Pradesh,2001,Cattle - Property,2. Cattle,448,580,6490596,7233876
Arunachal Pradesh,2001,Cattle - Property,2. Cattle,22,34,135500,704500
Assam,2001,Cattle - Property,2. Cattle,149,322,683350,1816386
Bihar,2001,Cattle - Property,2. Cattle,144,334,896019,1911068
Chandigarh,2001,Cattle - Property,2. Cattle,2,2,50000,50000
Chhattisgarh,2001,Cattle - Property,2. Cattle,140,339,703066,1455696
Dadra & Nagar Haveli,2001,Cattle - Property,2. Cattle,0,0,0,0
Daman & Diu,2001,Cattle - Property,2. Cattle,0,0,0,0
Delhi,2001,Cattle - Property,2. Cattle,25,68,159500,1211300
Goa,2001,Cattle - Property,2. Cattle,2,3,23000,24925
Gujarat,2001,Cattle - Property,2. Cattle,134,232,898251,1803401
Haryana,2001,Cattle - Property,2. Cattle,145,202,3096900,4110000
Himachal Pradesh,2001,Cattle - Property,2. Cattle,6,12,47300,100100
Jammu & Kashmir,2001,Cattle - Property,2. Cattle,25,59,432600,927974
Jharkhand,2001,Cattle - Property,2. Cattle,42,64,217850,330651
Karnataka,2001,Cattle - Property,2. Cattle,202,289,1663720,2522080
Kerala,2001,Cattle - Property,2. Cattle,36,55,184150,357950
Lakshadweep,2001,Cattle - Property,2. Cattle,0,0,0,0
Madhya Pradesh,2001,Cattle - Property,2. Cattle,765,1642,6585421,12618836
Maharashtra,2001,Cattle - Property,2. Cattle,479,852,4925556,9173876
Manipur,2001,Cattle - Property,2. Cattle,4,4,43950,43950
Meghalaya,2001,Cattle - Property,2. Cattle,11,20,174625,388625
Mizoram,2001,Cattle - Property,2. Cattle,33,41,111350,139440
Nagaland,2001,Cattle - Property,2. Cattle,2,8,12700,967818
Odisha,2001,Cattle - Property,2. Cattle,151,216,662319,998153
Puducherry,2001,Cattle - Property,2. Cattle,5,5,31785,31785
Punjab,2001,Cattle - Property,2. Cattle,19,32,373000,674000
