states_uts,year,residence_dacoity_cases_reported,residence_dacoity_value_of_property_stolen,residence_robbery_cases_reported,residence_robbery_value_of_property_stolen,residence_burglary_cases_reported,residence_burglary_value_of_property_stolen,residence_theft_cases_reported,residence_theft_value_of_property_stolen,highways_dacoity_cases_reported,highways_dacoity_value_of_property_stolen,highways_robbery_cases_reported,highways_robbery_value_of_property_stolen,highways_burglary_cases_reported,highways_burglary_value_of_property_stolen,highways_theft_cases_reported,highways_theft_value_of_property_stolen,riverorsea_dacoity_cases_reported,riverorsea_dacoity_value_of_property_stolen,riverorsea_robbery_cases_reported,riverorsea_robbery_value_of_property_stolen,riverorsea_burglary_cases_reported,riverorsea_burglary_value_of_property_stolen,riverorsea_theft_cases_reported,riverorsea_theft_value_of_property_stolen,railways_dacoity_cases_reported,railways_dacoity_value_of_property_stolen,railways_robbery_cases_reported,railways_robbery_value_of_property_stolen,railways_burglary_cases_reported,railways_burglary_value_of_property_stolen,railways_theft_cases_reported,railways_theft_value_of_property_stolen,religious_places_dacoity_cases_reported,religious_places_dacoity_value_of_property_stolen,religious_places_robbery_cases_reported,religious_places_robbery_value_of_property_stolen,religious_places_burglary_cases_reported,religious_places_burglary_value_of_property_stolen,religious_places_theft_cases_reported,religious_places_theft_value_of_property_stolen,atm_dacoity_cases_reported,atm_dacoity_value_of_property_stolen,atm_robbery_cases_reported,atm_robbery_value_of_property_stolen,atm_burglary_cases_reported,atm_burglary_value_of_property_stolen,atm_theft_cases_reported,atm_theft_value_of_property_stolen,bank_dacoity_cases_reported,bank_dacoity_value_of_property_stolen,bank_robbery_cases_reported,bank_robbery_value_of_property_stolen,bank_burglary_cases_reported,bank_burglary_value_of_property_stolen,bank_theft_cases_reported,bank_theft_value_of_property_stolen,commest_dacoity_cases_reported,commest_dacoity_value_of_property_stolen,commest_robbery_cases_reported,commest_robbery_value_of_property_stolen,commest_burglary_cases_reported,commest_burglary_value_of_property_stolen,commest_theft_cases_reported,commest_theft_value_of_property_stolen,otherplaces_dacoity_cases_reported,otherplaces_dacoity_value_of_property_stolen,otherplaces_robbery_cases_reported,otherplaces_robbery_value_of_property_stolen,otherplaces_burglary_cases_reported,otherplaces_burglary_value_of_property_stolen,otherplaces_theft_cases_reported,otherplaces_theft_value_of_property_stolen,total_dacoity_cases_reported,total_dacoity_value_of_property_stolen,total_robbery_cases_reported,total_robbery_value_of_property_stolen,total_burglary_cases_reported,total_burglary_value_of_property_stolen,total_theft_cases_reported,total_theft_value_of_property_stolen
Sikkim,2014,0,0,2,27000,79,6371115,56,4220560,0,0,3,48000,0,0,10,1519000,false,0,0,0,0,0,1,20000,0,0,0,0,0,0,0,0,0,0,1,10000,3,23000,1,10000,0,0,0,0,0,0,2,65000,0,0,0,0,0,0,0,0,0,0,3,35200,11,948100,11,195000,1,1700,4,31800,19,747750,45,1971490,1,1700,13,152000,112,8089965,126,8001050
Tamil Nadu,2014,45,15784570,477,39935700,3757,266138928,2861,165651070,23,36409097,711,78080913,0,0,2424,126010563,false,0,2,53000,0,0,8,57290,0,0,35,2202190,9,26040,456,19857704,0,0,14,310700,169,4126823,199,5017039,1,0,0,0,20,1044000,11,90500,0,0,1,185000,21,70125000,1,1000000,8,10655800,111,7706260,753,86930767,1513,90337618,24,48126451,618,57852701,537,51854608,4496,209252598,101,110975918,1969,186326464,5266,480246166,11969,617274382
Telangana,2014,30,6467900,127,18991990,3878,412228511,5292,272983159,11,5094422,60,8432150,0,0,814,32311005,false,0,0,0,0,0,11,252000,0,0,4,4000,1,600,760,26799809,0,0,2,10001,54,702700,80,1964097,0,0,0,0,17,166900,35,1298950,0,0,2,5496000,16,136526349,21,645400,2,4095000,7,778370,239,28071826,674,31432503,16,5270500,106,16708380,744,30354445,7655,434857899,59,20927822,308,50420891,4949,608051331,15342,802544822
Tripura,2014,1,1,17,1439102,99,5763837,158,4562376,0,0,2,29000,1,290000,9,2087000,false,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34000,0,0,0,0,4,305000,1,2500,0,0,0,0,0,0,0,0,0,0,0,0,1,25000,0,0,0,0,11,1582000,64,3684014,63,1260324,0,0,13,1211360,50,2488487,136,9632958,1,1,43,4261462,219,12556338,369,17579158
Uttar Pradesh,2014,121,65083000,257,39109045,5511,382628763,12824,430324426,76,115454074,1989,371180053,4,80000,19330,663500995,false,0,0,0,0,0,0,0,15,1071850,22,412722,0,0,3912,125467503,1,100000,0,0,11,619850,346,18128455,0,0,0,0,0,0,11,1250000,9,20898970,5,1635017,9,500000,151,2329875,9,2207720,68,11771542,508,42806660,1846,95599584,63,39480440,1579,158530665,878,54224773,9960,293735026,294,244296054,3920,582639044,6921,480860046,48380,1630335864
Uttarakhand,2014,15,6020000,26,2002800,215,18451662,456,11936293,0,0,105,8181965,0,0,440,30152450,false,0,0,0,0,0,0,0,0,0,1,7000,0,0,15,517740,0,0,0,0,0,0,8,99408,0,0,0,0,0,0,2,14200,1,771000,0,0,2,647750,0,0,0,0,7,3171420,56,6607600,78,3289950,3,1900000,16,1332800,50,3147020,738,39612292,19,8691000,155,14695985,323,28854032,1737,85622333
West Bengal,2014,56,8794050,87,8178112,212,13252733,6125,1084313570,23,13047800,144,13531930,5,95500,504,29690750,true,25000,2,5500,0,0,0,0,5,642030,6,522010,0,0,909,12157879,0,0,2,25000,0,0,89,6905500,0,0,1,80000,0,0,14,327999,0,0,4,3350000,5,1243000,10,770974,7,2902500,27,17152828,20,1175678,2287,1094077739,47,8102911,314,28077813,96,7628242,11428,1608754637,139,33514291,587,70923193,338,23395153,21366,3836999048
A & N Islands,2014,0,0,0,0,36,3706729,8,416300,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,142000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,697300,6,268000,0,0,2,20000,13,1052225,31,1102686,0,0,2,20000,64,5598254,45,1786986
Chandigarh,2014,0,0,6,40225,85,8090000,180,10493555,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20440,3,40000,6,25000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,30000,1,400000,8,400000,45,2806862,335,14000000,5,1090780,50,12932245,1,20000,731,37020200,6,1490780,65,13392910,134,10956862,1260,61568755
D&N Haveli,2014,0,0,1,99700,7,3954015,14,2927500,0,0,1,44000,1,250000,10,3442607,false,0,0,0,0,0,2,10000,0,0,0,0,0,0,0,379270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,917760,9,4111234,0,0,0,0,4,426560,3,53000,0,0,2,143700,15,5548335,38,10923611
Daman & Diu,2014,0,0,5,1236000,6,1869009,29,3006444,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3284026,0,0,0,0,0,0,0,0,2,113000,0,0,5,1236000,21,5153035,31,3119444
Delhi UT,2014,14,1851930,479,34109525,6290,623765114,21122,592361883,41,125037795,4180,198193437,24,1937000,22501,1164718823,false,0,0,0,0,0,0,0,1,2000,62,2269870,0,0,3544,117829902,0,0,9,54500,16,216000,198,2233300,0,0,1,50000,8,397100,187,2874712,0,0,0,0,2,75000,53,2490043,5,3339000,221,5345061,2048,650595935,3451,221386328,21,11068500,1512,66357278,1921,79582781,27697,974980403,82,141299225,6464,306379671,10309,1356568930,78753,3078875394
Lakshadweep,2014,0,0,0,0,10,0,15,671897,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,671897
Puducherry,2014,1,200000,3,1075000,38,7466002,78,2900700,2,252000,2,110000,2,90000,127,7596801,false,0,0,0,0,0,1,183150,0,0,0,0,0,0,0,0,0,0,0,0,2,11000,5,95000,0,0,0,0,8,772500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48000,11,173350,213,9762501,3,452000,6,1233000,61,8512852,424,20538152
Total (States),2014,1333,370483134,3757,318619007,69618,5302399678,94383,5223509189,1030,587280427,11025,1243485019,881,39418079,47326,2516303590,true,25000,27,990150,3,17000,975,88240033,74,7423560,664,37454517,91,5630612,18295,709191133,8,573500,136,11845928,1450,63914100.5,2297,81632754,8,1875000,14,2229551,206,39469911,414,31232867,21,74641383,47,21643149,322,307544942,1034,39064337,222,90112654,1156,147459471,14315,1382627566,28932,2640083872,1607,1375183829,14701,1250699873,17146,1877314644,166693,11414186446,4304,2507598487,31527,3034426665,104032,9018336533,360349,22746844221
Total (UTs),2014,15,2051930,494,36560450,6472,648850869,21446,612778279,43,125289795,4183,198347437,27,2277000,22638,1175758231,false,0,0,0,0,0,3,193150,1,2000,62,2269870,0,0,3544,118209172,0,0,10,74940,27,409000,209,2353300,0,0,1,50000,16,1169600,188,2874712,0,0,0,0,2,75000,60,2520043,6,3739000,229,5745061,2120,658301883,3801,239765562,26,12159280,1565,79357523,1950,81254916,28677,1023031790,91,143242005,6544,322405281,10614,1392338268,80566,3177484239
Total (All India),2014,1348,372535064,4251,355179457,76090,5951250547,115829,5836287468,1073,712570222,15208,1441832456,908,41695079,69964,3692061821,true,25000,27,990150,3,17000,978,88433183,75,7425560,726,39724387,91,5630612,21839,827400305,8,573500,146,11920868,1477,64323100.5,2506,83986054,8,1875000,15,2279551,222,40639511,602,34107579,21,74641383,47,21643149,324,307619942,1094,41584380,228,93851654,1385,153204532,16435,2040929449,32733,2879849434,1633,1387343109,16266,1330057396,19096,1958569560,195370,12437218236,4395,2650840492,38071,3356831946,114646,10410674801,440915,25924328460
