area_name,year,group_name,sub_group_name,trial_of_violent_crimes_by_courts_by_confession,trial_of_violent_crimes_by_courts_by_trial,trial_of_violent_crimes_by_courts_total
Tamil Nadu,2003,TVC- Arson,10. Arson,9,404,413
Tripura,2003,TVC- Arson,10. Arson,,11,11
Uttar Pradesh,2003,TVC- Arson,10. Arson,,607,607
Uttarakhand,2003,TVC- Arson,10. Arson,0,10,10
West Bengal,2003,TVC- Arson,10. Arson,0,82,82
Andaman & Nicobar Islands,2004,TVC- Arson,10. Arson,,1,1
Andhra Pradesh,2004,TVC- Arson,10. Arson,0,542,542
Arunachal Pradesh,2004,TVC- Arson,10. Arson,0,1,1
Assam,2004,TVC- Arson,10. Arson,20,173,193
Bihar,2004,TVC- Arson,10. Arson,0,286,286
Chandigarh,2004,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2004,TVC- Arson,10. Arson,7,70,77
Dadra & Nagar Haveli,2004,TVC- Arson,10. Arson,,1,1
Delhi,2004,TVC- Arson,10. Arson,,29,29
Goa,2004,TVC- Arson,10. Arson,,9,9
Gujarat,2004,TVC- Arson,10. Arson,1,288,289
Haryana,2004,TVC- Arson,10. Arson,,111,111
Himachal Pradesh,2004,TVC- Arson,10. Arson,0,54,54
Jammu & Kashmir,2004,TVC- Arson,10. Arson,,41,41
Jharkhand,2004,TVC- Arson,10. Arson,,104,104
Karnataka,2004,TVC- Arson,10. Arson,0,186,186
Kerala,2004,TVC- Arson,10. Arson,,208,208
Madhya Pradesh,2004,TVC- Arson,10. Arson,,656,656
Maharashtra,2004,TVC- Arson,10. Arson,0,593,593
Manipur,2004,TVC- Arson,10. Arson,0,0,0
Meghalaya,2004,TVC- Arson,10. Arson,0,4,4
Mizoram,2004,TVC- Arson,10. Arson,7,32,39
Nagaland,2004,TVC- Arson,10. Arson,1,4,5
Odisha,2004,TVC- Arson,10. Arson,0,294,294
Puducherry,2004,TVC- Arson,10. Arson,,2,2
Punjab,2004,TVC- Arson,10. Arson,6,34,40
Rajasthan,2004,TVC- Arson,10. Arson,0,407,407
Sikkim,2004,TVC- Arson,10. Arson,,1,1
Tamil Nadu,2004,TVC- Arson,10. Arson,25,413,438
Tripura,2004,TVC- Arson,10. Arson,,4,4
Uttar Pradesh,2004,TVC- Arson,10. Arson,0,399,399
Uttarakhand,2004,TVC- Arson,10. Arson,,14,14
West Bengal,2004,TVC- Arson,10. Arson,2,53,55
Andaman & Nicobar Islands,2005,TVC- Arson,10. Arson,,2,2
Andhra Pradesh,2005,TVC- Arson,10. Arson,0,612,612
Arunachal Pradesh,2005,TVC- Arson,10. Arson,0,3,3
Assam,2005,TVC- Arson,10. Arson,2,209,211
Bihar,2005,TVC- Arson,10. Arson,0,258,258
Chandigarh,2005,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2005,TVC- Arson,10. Arson,50,83,133
Daman & Diu,2005,TVC- Arson,10. Arson,,0,0
Delhi,2005,TVC- Arson,10. Arson,,7,7
Goa,2005,TVC- Arson,10. Arson,,10,10
Gujarat,2005,TVC- Arson,10. Arson,1,208,209
Haryana,2005,TVC- Arson,10. Arson,0,84,84
Himachal Pradesh,2005,TVC- Arson,10. Arson,0,81,81
Jammu & Kashmir,2005,TVC- Arson,10. Arson,0,42,42
Jharkhand,2005,TVC- Arson,10. Arson,0,84,84
Karnataka,2005,TVC- Arson,10. Arson,0,193,193
Kerala,2005,TVC- Arson,10. Arson,,68,68
Madhya Pradesh,2005,TVC- Arson,10. Arson,,802,802
Maharashtra,2005,TVC- Arson,10. Arson,0,622,622
Manipur,2005,TVC- Arson,10. Arson,0,0,0
Meghalaya,2005,TVC- Arson,10. Arson,1,3,4
Mizoram,2005,TVC- Arson,10. Arson,1,5,6
Nagaland,2005,TVC- Arson,10. Arson,0,0,0
Odisha,2005,TVC- Arson,10. Arson,0,205,205
Puducherry,2005,TVC- Arson,10. Arson,,4,4
Punjab,2005,TVC- Arson,10. Arson,0,25,25
Rajasthan,2005,TVC- Arson,10. Arson,,363,363
Tamil Nadu,2005,TVC- Arson,10. Arson,5,506,511
Tripura,2005,TVC- Arson,10. Arson,,15,15
Uttar Pradesh,2005,TVC- Arson,10. Arson,0,433,433
Uttarakhand,2005,TVC- Arson,10. Arson,,6,6
West Bengal,2005,TVC- Arson,10. Arson,0,59,59
Andhra Pradesh,2006,TVC- Arson,10. Arson,0,681,681
Arunachal Pradesh,2006,TVC- Arson,10. Arson,0,3,3
Assam,2006,TVC- Arson,10. Arson,5,228,233
Bihar,2006,TVC- Arson,10. Arson,11,387,398
Chandigarh,2006,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2006,TVC- Arson,10. Arson,25,75,100
Dadra & Nagar Haveli,2006,TVC- Arson,10. Arson,0,2,2
Daman & Diu,2006,TVC- Arson,10. Arson,0,2,2
Delhi,2006,TVC- Arson,10. Arson,,20,20
Goa,2006,TVC- Arson,10. Arson,,11,11
Gujarat,2006,TVC- Arson,10. Arson,1,200,201
Haryana,2006,TVC- Arson,10. Arson,,68,68
Himachal Pradesh,2006,TVC- Arson,10. Arson,0,52,52
Jammu & Kashmir,2006,TVC- Arson,10. Arson,0,52,52
Jharkhand,2006,TVC- Arson,10. Arson,0,141,141
Karnataka,2006,TVC- Arson,10. Arson,0,139,139
Kerala,2006,TVC- Arson,10. Arson,,448,448
Madhya Pradesh,2006,TVC- Arson,10. Arson,,665,665
Maharashtra,2006,TVC- Arson,10. Arson,0,615,615
Manipur,2006,TVC- Arson,10. Arson,0,0,0
Meghalaya,2006,TVC- Arson,10. Arson,1,15,16
Mizoram,2006,TVC- Arson,10. Arson,0,25,25
Nagaland,2006,TVC- Arson,10. Arson,0,0,0
Odisha,2006,TVC- Arson,10. Arson,0,173,173
Puducherry,2006,TVC- Arson,10. Arson,,3,3
Punjab,2006,TVC- Arson,10. Arson,,22,22
Rajasthan,2006,TVC- Arson,10. Arson,0,314,314
Tamil Nadu,2006,TVC- Arson,10. Arson,,369,369
Tripura,2006,TVC- Arson,10. Arson,,10,10
Uttar Pradesh,2006,TVC- Arson,10. Arson,0,322,322
Uttarakhand,2006,TVC- Arson,10. Arson,,18,18
West Bengal,2006,TVC- Arson,10. Arson,0,93,93
Andaman & Nicobar Islands,2007,TVC- Arson,10. Arson,,3,3
Andhra Pradesh,2007,TVC- Arson,10. Arson,0,861,861
Arunachal Pradesh,2007,TVC- Arson,10. Arson,0,3,3
Assam,2007,TVC- Arson,10. Arson,6,152,158
Bihar,2007,TVC- Arson,10. Arson,0,325,325
Chandigarh,2007,TVC- Arson,10. Arson,0,1,1
Chhattisgarh,2007,TVC- Arson,10. Arson,55,87,142
Daman & Diu,2007,TVC- Arson,10. Arson,0,1,1
Delhi,2007,TVC- Arson,10. Arson,,16,16
Goa,2007,TVC- Arson,10. Arson,,3,3
Gujarat,2007,TVC- Arson,10. Arson,1,236,237
Haryana,2007,TVC- Arson,10. Arson,0,83,83
