state_ut,crime_head,male_below_18_years,female_below_18_years,male_between_18_30_years,female_between_18_30_years,male_between_30_45_years,female_between_30_45_years,male_between_45_60_years,female_between_45_60_years,male_above_60_years,female_above_60_years,male_total,female_total,grand_total
ANDHRA PRADESH,ARMS ACT,4,0,262,0,231,0,46,0,6,0,549,0,549
ARUNACHAL PRADESH,ARMS ACT,0,0,10,0,4,0,0,0,0,0,14,0,14
ASSAM,ARMS ACT,2,0,290,2,249,1,31,0,0,0,572,3,575
BIHAR,ARMS ACT,25,0,1483,17,788,2,164,0,0,0,2460,19,2479
CHHATTISGARH,ARMS ACT,17,0,527,0,312,0,58,0,0,0,914,0,914
GOA,ARMS ACT,0,0,12,0,6,0,0,1,1,0,19,1,20
GUJARAT,ARMS ACT,2,0,345,1,297,1,61,0,6,0,711,2,713
HARYANA,ARMS ACT,10,0,837,0,537,0,109,0,2,0,1495,0,1495
HIMACHAL PRADESH,ARMS ACT,0,0,9,0,11,0,4,0,1,0,25,0,25
JAMMU & KASHMIR,ARMS ACT,0,0,153,0,138,0,18,0,1,0,310,0,310
JHARKHAND,ARMS ACT,3,0,676,6,353,2,60,0,0,0,1092,8,1100
KARNATAKA,ARMS ACT,0,0,79,1,94,0,41,0,4,0,218,1,219
KERALA,ARMS ACT,8,0,249,0,203,1,65,0,10,0,535,1,536
MADHYA PRADESH,ARMS ACT,37,0,6389,0,3592,5,918,2,27,0,10963,7,10970
MAHARASHTRA,ARMS ACT,24,0,1058,1,421,2,54,0,5,0,1562,3,1565
MANIPUR,ARMS ACT,0,0,5,0,8,0,5,0,0,0,18,0,18
MEGHALAYA,ARMS ACT,0,0,22,0,4,0,0,0,0,0,26,0,26
MIZORAM,ARMS ACT,0,0,16,0,13,0,9,0,0,0,38,0,38
NAGALAND,ARMS ACT,0,0,87,3,59,1,2,0,1,0,149,4,153
ODISHA,ARMS ACT,1,0,516,7,481,3,179,0,3,0,1180,10,1190
PUNJAB,ARMS ACT,4,0,406,0,404,0,156,0,1,0,971,0,971
RAJASTHAN,ARMS ACT,15,0,2943,0,1695,1,484,0,34,0,5171,1,5172
SIKKIM,ARMS ACT,0,0,2,0,1,0,0,0,0,0,3,0,3
TAMIL NADU,ARMS ACT,1,0,80,0,143,1,48,0,1,0,273,1,274
TRIPURA,ARMS ACT,0,0,19,0,13,0,1,0,2,0,35,0,35
UTTAR PRADESH,ARMS ACT,25,0,17230,4,7997,2,1296,0,2,0,26550,6,26556
UTTARAKHAND,ARMS ACT,2,0,202,0,287,0,17,0,0,0,508,0,508
WEST BENGAL,ARMS ACT,7,0,1576,1,1099,0,228,0,0,0,2910,1,2911
TOTAL (STATES),ARMS ACT,187,0,35483,43,19440,22,4054,3,107,0,59271,68,59339
A & N ISLANDS,ARMS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,ARMS ACT,0,0,8,0,6,0,3,0,0,0,17,0,17
D & N HAVELI,ARMS ACT,0,0,0,1,0,1,0,0,0,0,0,2,2
DAMAN & DIU,ARMS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,ARMS ACT,9,0,879,3,272,1,28,2,0,0,1188,6,1194
LAKSHADWEEP,ARMS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0
