states_uts,crime_head,year,18_and_above_and_below_30_years_male,18_and_above_and_below_30_years_female,18_and_above_and_below_30_years_total,30_and_above_and_below_45_years_male,30_and_above_and_below_45_years_female,30_and_above_and_below_45_years_total,45_and_above_and_below_60_years_male,45_and_above_and_below_60_years_female,45_and_above_and_below_60_years_total,60_years_and_above_male,60_years_and_above_female,60_years_and_above_total,total_male,total_female,total_persons_arrested_by_age_and_sex
Haryana,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,6,0,6,19,2,21,2,1,3,1,1,2,28,4,32
Haryana,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,56 - Other SLL crimes,2014,2065,10,2075,1937,6,1943,553,2,555,19,1,20,4574,19,4593
Haryana,57 - Total Cognizable SLL crimes,2014,15702,154,15856,14823,92,14915,3965,13,3978,234,2,236,34724,261,34985
Himachal Pradesh,"1 - Arms Act, 1959",2014,5,0,5,17,0,17,9,0,9,1,0,1,32,0,32
Himachal Pradesh,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,365,6,371,282,13,295,127,5,132,9,0,9,783,24,807
Himachal Pradesh,"3 - Gambling Act, 1867",2014,241,0,241,443,1,444,189,0,189,8,0,8,881,1,882
Himachal Pradesh,"4 - Excise Act, 1944",2014,333,21,354,645,60,705,444,34,478,34,0,34,1456,115,1571
Himachal Pradesh,5 - Prohibition Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,6 - Explosives and Explosive Substances Act,2014,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Himachal Pradesh,"7 - Immoral Traffic (Prevention) Act, 1956",2014,4,3,7,11,5,16,1,0,1,0,0,0,16,8,24
Himachal Pradesh,7.1 - Under Section 5,2014,2,2,4,3,1,4,1,0,1,0,0,0,6,3,9
Himachal Pradesh,7.2 - Under Section 6,2014,0,1,1,4,4,8,0,0,0,0,0,0,4,5,9
Himachal Pradesh,7.3 - Under Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,7.4 - Under Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,7.5 - Other Sections under ITP Act,2014,2,0,2,4,0,4,0,0,0,0,0,0,6,0,6
Himachal Pradesh,"8 - Indian Railways Act, 1989",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"9 - Registration of Foreigners Act, 1939",2014,1,1,2,8,0,8,2,0,2,0,0,0,11,1,12
Himachal Pradesh,"10 - Protection of Civil Rights Act, 1955",2014,2,0,2,14,0,14,7,2,9,2,0,2,25,2,27
Himachal Pradesh,10.1 - PCR Act for crimes committed against SCs,2014,2,0,2,13,0,13,7,2,9,2,0,2,24,2,26
Himachal Pradesh,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Himachal Pradesh,"11 - Passport Act, 1967",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"12 - Essential Commodities Act, 1955",2014,2,0,2,13,0,13,3,0,3,0,0,0,18,0,18
Himachal Pradesh,"13 - Antiquities & Art Treasures Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"14 - Dowry Prohibition Act, 1961",2014,1,1,2,0,0,0,1,1,2,0,0,0,2,2,4
Himachal Pradesh,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"16 - Copyright Act, 1957",2014,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Himachal Pradesh,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,20,3,23,52,12,64,24,8,32,2,0,2,98,23,121
Himachal Pradesh,18.1 - POA Act for crimes committed against SCs,2014,17,3,20,42,11,53,23,7,30,2,0,2,84,21,105
Himachal Pradesh,18.2 - POA Act for crimes committed against STs,2014,3,0,3,10,1,11,1,1,2,0,0,0,14,2,16
Himachal Pradesh,"19 - Forest Act, 1927",2014,77,1,78,104,0,104,31,1,32,2,0,2,214,2,216
Himachal Pradesh,"20 - Prohibition of Child Marriage Act, 2006",2014,4,0,4,4,3,7,3,4,7,0,0,0,11,7,18
Himachal Pradesh,"21 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
Himachal Pradesh,"22 - Information Technology Act, 2000",2014,5,0,5,6,1,7,1,0,1,0,0,0,12,1,13
Himachal Pradesh,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"24 - Electricity Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"25 - Wildlife Protection Act, 1972",2014,8,0,8,5,0,5,6,0,6,0,0,0,19,0,19
Himachal Pradesh,"26 - Bonded Labour System (Abolition) Act, 1976",2014,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2
Himachal Pradesh,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,26.3 - Against others,2014,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2
Himachal Pradesh,"27 - Environmental (Protection) Act, 1986",2014,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
Himachal Pradesh,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"31 - Unlawful Activities (Prevention) Act, 1967",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"34 - Prevention of Damage to Public Property Act, 1984",2014,17,3,20,47,13,60,14,4,18,0,0,0,78,20,98
Himachal Pradesh,"35 - Transplantation of Human Organs Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"36 - Trade Marks Act, 1999",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"37 - Prevention of Insults to National Honour Act, 1971",2014,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3
Himachal Pradesh,"38 - State Emblem (Prohibition of Improper Use) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"39 - Lotteries (Regulation) Act, 1998",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"40 - Citizenship Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"41 - Foreigners Act, 1946",2014,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
Himachal Pradesh,"42 - Place of Worship (Special Provisions) Act, 1991",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"43 - Religious Institution (Prevention of Misuse) Act, 1988",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"44 - Representation of People Act, 1951",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"45 - Emigration Act, 1983",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"46 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,2,0,2,4,0,4,0,3,3,2,1,3,8,4,12
Himachal Pradesh,"47 - Infant Substitutes Regulation Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"48 - Anti-Hijacking Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"49 - Atomic Energy Act, 1962",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"50 - Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"51 - Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"52 - Safety of Maritime Navigation Act, 2002",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"53 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,56 - Other SLL crimes,2014,57,2,59,76,6,82,34,4,38,4,1,5,171,13,184
Himachal Pradesh,57 - Total Cognizable SLL crimes,2014,1147,41,1188,1745,114,1859,899,66,965,64,2,66,3855,223,4078
Jammu & Kashmir,"1 - Arms Act, 1959",2014,82,0,82,74,1,75,3,0,3,0,0,0,159,1,160
Jammu & Kashmir,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,178,1,179,360,3,363,45,0,45,0,0,0,583,4,587
Jammu & Kashmir,"3 - Gambling Act, 1867",2014,118,0,118,351,0,351,282,0,282,0,0,0,751,0,751
Jammu & Kashmir,"4 - Excise Act, 1944",2014,239,7,246,219,9,228,38,1,39,0,0,0,496,17,513
Jammu & Kashmir,5 - Prohibition Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,6 - Explosives and Explosive Substances Act,2014,6,0,6,12,0,12,2,0,2,0,0,0,20,0,20
Jammu & Kashmir,"7 - Immoral Traffic (Prevention) Act, 1956",2014,1,2,3,2,1,3,0,0,0,0,0,0,3,3,6
Jammu & Kashmir,7.1 - Under Section 5,2014,1,2,3,2,1,3,0,0,0,0,0,0,3,3,6
Jammu & Kashmir,7.2 - Under Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,7.3 - Under Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,7.4 - Under Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,7.5 - Other Sections under ITP Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"8 - Indian Railways Act, 1989",2014,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Jammu & Kashmir,"9 - Registration of Foreigners Act, 1939",2014,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6
Jammu & Kashmir,"10 - Protection of Civil Rights Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,10.1 - PCR Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"11 - Passport Act, 1967",2014,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
Jammu & Kashmir,"12 - Essential Commodities Act, 1955",2014,88,0,88,130,0,130,22,0,22,0,0,0,240,0,240
Jammu & Kashmir,"13 - Antiquities & Art Treasures Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"14 - Dowry Prohibition Act, 1961",2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Jammu & Kashmir,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"16 - Copyright Act, 1957",2014,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Jammu & Kashmir,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,18.1 - POA Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,18.2 - POA Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"19 - Forest Act, 1927",2014,5,0,5,4,0,4,0,0,0,0,0,0,9,0,9
Jammu & Kashmir,"20 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"21 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"22 - Information Technology Act, 2000",2014,1,0,1,1,0,1,0,0,0,0,0,0,2,0,2
Jammu & Kashmir,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"24 - Electricity Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"25 - Wildlife Protection Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"26 - Bonded Labour System (Abolition) Act, 1976",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,26.3 - Against others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"27 - Environmental (Protection) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"31 - Unlawful Activities (Prevention) Act, 1967",2014,8,0,8,7,2,9,0,0,0,0,0,0,15,2,17
Jammu & Kashmir,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"34 - Prevention of Damage to Public Property Act, 1984",2014,0,0,0,3,0,3,1,0,1,1,0,1,5,0,5
Jammu & Kashmir,"35 - Transplantation of Human Organs Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"36 - Trade Marks Act, 1999",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"37 - Prevention of Insults to National Honour Act, 1971",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"38 - State Emblem (Prohibition of Improper Use) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"39 - Lotteries (Regulation) Act, 1998",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"40 - Citizenship Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"41 - Foreigners Act, 1946",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"42 - Place of Worship (Special Provisions) Act, 1991",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"43 - Religious Institution (Prevention of Misuse) Act, 1988",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"44 - Representation of People Act, 1951",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"45 - Emigration Act, 1983",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"46 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"47 - Infant Substitutes Regulation Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"48 - Anti-Hijacking Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"49 - Atomic Energy Act, 1962",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"50 - Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"51 - Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"52 - Safety of Maritime Navigation Act, 2002",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"53 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,56 - Other SLL crimes,2014,45,0,45,109,1,110,24,0,24,1,0,1,179,1,180
Jammu & Kashmir,57 - Total Cognizable SLL crimes,2014,780,10,790,1278,17,1295,417,1,418,2,0,2,2477,28,2505
Jharkhand,"1 - Arms Act, 1959",2014,267,1,268,323,0,323,42,0,42,0,0,0,632,1,633
Jharkhand,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,77,0,77,81,0,81,11,0,11,0,0,0,169,0,169
Jharkhand,"3 - Gambling Act, 1867",2014,61,0,61,95,0,95,19,0,19,0,0,0,175,0,175
Jharkhand,"4 - Excise Act, 1944",2014,161,0,161,306,1,307,136,0,136,1,0,1,604,1,605
Jharkhand,5 - Prohibition Act,2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Jharkhand,6 - Explosives and Explosive Substances Act,2014,39,0,39,91,0,91,4,0,4,0,0,0,134,0,134
Jharkhand,"7 - Immoral Traffic (Prevention) Act, 1956",2014,3,1,4,10,0,10,0,0,0,0,0,0,13,1,14
Jharkhand,7.1 - Under Section 5,2014,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
Jharkhand,7.2 - Under Section 6,2014,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
Jharkhand,7.3 - Under Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,7.4 - Under Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,7.5 - Other Sections under ITP Act,2014,3,0,3,5,0,5,0,0,0,0,0,0,8,0,8
Jharkhand,"8 - Indian Railways Act, 1989",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"9 - Registration of Foreigners Act, 1939",2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Jharkhand,"10 - Protection of Civil Rights Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,10.1 - PCR Act for crimes committed against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,10.2 - PCR Act for crimes committed against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,10.3 - PCR Act for crimes committed against Others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"11 - Passport Act, 1967",2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Jharkhand,"12 - Essential Commodities Act, 1955",2014,15,0,15,77,2,79,21,0,21,0,0,0,113,2,115
Jharkhand,"13 - Antiquities & Art Treasures Act, 1972",2014,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Jharkhand,"14 - Dowry Prohibition Act, 1961",2014,465,52,517,579,97,676,192,77,269,3,2,5,1239,228,1467
Jharkhand,"15 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"16 - Copyright Act, 1957",2014,4,0,4,15,0,15,0,0,0,0,0,0,19,0,19
Jharkhand,17 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"18 - SC/ST (Prevention of Atrocities) Act, 1989)",2014,213,3,216,513,8,521,162,3,165,5,0,5,893,14,907
Jharkhand,18.1 - POA Act for crimes committed against SCs,2014,144,2,146,373,8,381,106,2,108,5,0,5,628,12,640
Jharkhand,18.2 - POA Act for crimes committed against STs,2014,69,1,70,140,0,140,56,1,57,0,0,0,265,2,267
Jharkhand,"19 - Forest Act, 1927",2014,52,1,53,178,0,178,52,0,52,0,0,0,282,1,283
Jharkhand,"20 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Jharkhand,"21 - Protection of Women from Domestic Violence Act, 2005",2014,2,0,2,2,0,2,0,0,0,0,0,0,4,0,4
Jharkhand,"22 - Information Technology Act, 2000",2014,32,0,32,22,0,22,3,0,3,0,0,0,57,0,57
Jharkhand,"23 - Official Secrets Act, 1923",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"24 - Electricity Act, 2003",2014,202,2,204,557,15,572,333,7,340,0,0,0,1092,24,1116
Jharkhand,"25 - Wildlife Protection Act, 1972",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"26 - Bonded Labour System (Abolition) Act, 1976",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,26.1 - Against SCs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,26.2 - Against STs,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,26.3 - Against others,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"27 - Environmental (Protection) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"28 - Air (Prevention & Control of Pollution) Act, 1981",2014,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4
Jharkhand,"29 - Water (Prevention & Control of Pollution) Act, 1974(as amended in 1988)",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"30 - National Security Act, 1980",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"31 - Unlawful Activities (Prevention) Act, 1967",2014,22,0,22,3,0,3,4,0,4,0,0,0,29,0,29
Jharkhand,"32 - Young Persons (Harmful Publications) Act, 1956",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"33 - Railway Property (Unlawful Possession) Act, 1966",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"34 - Prevention of Damage to Public Property Act, 1984",2014,3,0,3,28,0,28,21,0,21,0,0,0,52,0,52
Jharkhand,"35 - Transplantation of Human Organs Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"36 - Trade Marks Act, 1999",2014,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
Jharkhand,"37 - Prevention of Insults to National Honour Act, 1971",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"38 - State Emblem (Prohibition of Improper Use) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"39 - Lotteries (Regulation) Act, 1998",2014,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
Jharkhand,"40 - Citizenship Act, 1955",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"41 - Foreigners Act, 1946",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"42 - Place of Worship (Special Provisions) Act, 1991",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"43 - Religious Institution (Prevention of Misuse) Act, 1988",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"44 - Representation of People Act, 1951",2014,5,0,5,12,0,12,3,0,3,0,0,0,20,0,20
Jharkhand,"45 - Emigration Act, 1983",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"46 - Juvenile Justice (Care and Protection of Children) Act, 2000",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"47 - Infant Substitutes Regulation Act, 2003",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"48 - Anti-Hijacking Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"49 - Atomic Energy Act, 1962",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"50 - Weapons of Mass Destruction (Proh. of Unlawful Activities) Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"51 - Suppression of Unlawful Acts against Safety of Civil Aviation Act, 1982",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"52 - Safety of Maritime Navigation Act, 2002",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"53 - Manual Scavengers and Construction of Dry Latrines (P) Act, 1993",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"54 - Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act, 1994",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"55 - The Maritime Zones of India (Reg of Fishing by Foreign Vessels) Act, 1981",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,56 - Other SLL crimes,2014,693,11,704,1296,35,1331,286,10,296,1,0,1,2276,56,2332
Jharkhand,57 - Total Cognizable SLL crimes,2014,2316,71,2387,4210,158,4368,1289,97,1386,10,2,12,7825,328,8153
Karnataka,"1 - Arms Act, 1959",2014,77,0,77,147,1,148,34,0,34,1,0,1,259,1,260
Karnataka,"2 - Narcotic Drugs & Psychotropic Substances Act, 1985",2014,215,3,218,195,3,198,64,6,70,7,2,9,481,14,495
Karnataka,"3 - Gambling Act, 1867",2014,15504,8,15512,18384,16,18400,7980,5,7985,772,0,772,42640,29,42669
