area_name,year,group_name,sub_group_name,pt_1_3_years,pt_3_5_years,pt_5_10_years,pt_6_12_months,pt_less_than_6_months,pt_over_10_years,pt_total
Nagaland,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),59,15,0,281,245,0,600
Odisha,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9876,7728,3111,3555,1279,1300,26849
Puducherry,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),886,166,45,1080,1076,,3253
Punjab,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6281,3642,878,2627,1031,79,14538
Rajasthan,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27142,22435,9083,11037,5707,2265,77669
Sikkim,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),85,20,,41,,,146
Tamil Nadu,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),40188,19000,5790,37378,31337,799,134492
Tripura,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),718,360,80,327,320,26,1831
Uttar Pradesh,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),30717,27343,18747,2665,352,4582,84406
Uttarakhand,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1617,884,377,698,252,37,3865
West Bengal,2006,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9555,6684,3867,8379,5638,1631,35754
Andaman & Nicobar Islands,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),91,54,75,16,8,18,262
Andhra Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),35632,13800,3667,22815,16832,445,93191
Arunachal Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),191,58,2,173,12,3,439
Assam,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8211,4615,3318,3198,1470,1530,22342
Bihar,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),14164,19475,14554,2136,419,3012,53760
Chandigarh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),511,339,403,183,109,49,1594
Chhattisgarh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6755,4253,3217,6795,4394,812,26226
Dadra & Nagar Haveli,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38,25,24,72,10,4,173
Daman & Diu,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29,46,29,22,3,13,142
Delhi,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8144,7761,4094,4810,4963,1346,31118
Goa,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),452,191,80,123,71,15,932
Gujarat,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),18464,13449,4961,13748,9116,914,60652
Haryana,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9796,5335,2677,4395,2539,350,25092
Himachal Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1935,1557,870,812,540,104,5818
Jammu & Kashmir,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1888,2093,1686,1506,1631,410,9214
Jharkhand,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),14394,5037,6379,1695,335,5140,32980
Karnataka,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23909,11778,3852,14909,15615,388,70451
Kerala,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29080,18638,6024,18272,5781,303,78098
Lakshadweep,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1,0,0,0,0,0,1
Madhya Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27984,17079,7333,24201,22442,2146,101185
Maharashtra,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),20829,19100,12272,7518,3452,4130,67301
Manipur,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),17,3,2,6,2,16,46
Meghalaya,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),221,120,95,23,7,31,497
Mizoram,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),671,344,56,827,148,0,2046
Nagaland,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),183,43,0,179,195,0,600
Odisha,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8821,7094,2667,2861,1155,820,23418
Puducherry,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1006,225,48,933,1363,9,3584
Punjab,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6229,3566,1032,2939,1084,78,14928
Rajasthan,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),20542,16950,7635,10672,7271,2148,65218
Sikkim,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),104,42,,60,,,206
Tamil Nadu,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),35057,18429,5847,32420,28163,1323,121239
Tripura,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),988,641,99,583,487,9,2807
Uttar Pradesh,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),28593,25366,19843,2626,253,4339,81020
Uttarakhand,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2017,1630,628,1089,356,3,5723
West Bengal,2007,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6921,4571,3799,4276,2681,1138,23386
Andaman & Nicobar Islands,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),43,84,82,2,,19,230
Andhra Pradesh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29446,12782,4782,21280,14415,465,83170
Arunachal Pradesh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),244,127,0,93,0,0,464
Assam,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4083,3547,2499,2211,904,783,14027
Bihar,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),13488,17421,13331,2553,507,3300,50600
Chandigarh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),560,355,299,168,453,55,1890
Chhattisgarh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),5704,3160,1691,6490,5652,451,23148
Dadra & Nagar Haveli,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),37,24,16,13,6,3,99
Daman & Diu,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),85,61,32,13,14,27,232
Delhi,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4850,3674,1495,4226,4069,366,18680
Goa,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),443,174,75,153,137,1,983
Gujarat,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),22082,13899,5999,15203,9226,1013,67422
Haryana,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11909,7567,3725,6040,4021,397,33659
Himachal Pradesh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2444,1361,847,1056,438,259,6405
Jammu & Kashmir,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1557,1222,1040,1523,1763,317,7422
Jharkhand,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),7329,7747,5564,902,127,3585,25254
Karnataka,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),28313,13492,4069,16528,14837,518,77757
Kerala,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),26717,15844,5869,13856,4920,262,67468
Lakshadweep,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2,,,,,,2
Madhya Pradesh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33486,19773,7694,26527,24389,2944,114813
Maharashtra,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),24230,24255,14959,8730,3462,4974,80610
Manipur,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),3,6,8,13,47,27,104
Meghalaya,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),193,160,107,42,1,20,523
Mizoram,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),140,5,0,944,867,0,1956
Nagaland,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),215,18,10,199,100,0,542
Odisha,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10023,7160,3855,4658,1553,1126,28375
Puducherry,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1200,471,83,1842,1456,,5052
Punjab,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6560,5417,2109,4093,1289,202,19670
Rajasthan,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),18313,15944,8448,10789,5829,3150,62473
Sikkim,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),134,30,,49,,,213
Tamil Nadu,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),40226,19253,6292,32786,24059,880,123496
Tripura,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),647,359,77,290,241,12,1626
Uttar Pradesh,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),31353,33036,23875,3137,478,4704,96583
Uttarakhand,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1533,828,230,832,197,37,3657
West Bengal,2008,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),9237,7098,5009,6722,4567,1385,34018
Andaman & Nicobar Islands,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),35,34,55,9,6,10,149
Andhra Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),34751,16805,4199,19044,14720,449,89968
Arunachal Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),226,151,2,190,0,0,569
Assam,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4265,3798,2509,2344,1044,920,14880
Bihar,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),12531,15190,11635,2744,957,4161,47218
Chandigarh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),362,318,352,172,175,41,1420
Chhattisgarh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6156,3551,1817,6874,4573,665,23636
Dadra & Nagar Haveli,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),29,32,37,28,14,6,146
Daman & Diu,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),51,51,37,16,3,8,166
Delhi,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),5752,7002,1626,2856,2683,434,20353
Goa,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),537,268,87,192,95,10,1189
Gujarat,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),18115,11890,5023,13076,8427,550,57081
Haryana,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11124,7253,3702,6861,3904,311,33155
Himachal Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2391,1597,838,1099,521,320,6766
Jammu & Kashmir,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2007,1942,1483,2062,1963,866,10323
Jharkhand,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10985,9248,7666,2347,148,2622,33016
Karnataka,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23452,12669,4264,16530,15615,837,73367
Kerala,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),27395,17390,5378,17571,7219,277,75230
Lakshadweep,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33,12,2,18,9,,74
Madhya Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33564,18387,8230,25238,24363,2502,112284
Maharashtra,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),21948,22454,15058,7074,2806,4933,74273
Manipur,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6,7,4,2,2,5,26
Meghalaya,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),211,198,48,34,9,39,539
Mizoram,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),119,19,,358,1093,,1589
Nagaland,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),130,94,34,148,101,59,566
Odisha,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),10141,6116,3369,3812,1339,740,25517
Puducherry,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),526,293,16,943,585,5,2368
Punjab,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8262,4295,1648,3020,1408,293,18926
Rajasthan,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),20075,16686,7628,9712,4148,2222,60471
Sikkim,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),203,7,,115,10,,335
Tamil Nadu,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),33188,14911,4701,31923,23711,1113,109547
Tripura,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1242,391,79,378,0,12,2102
Uttar Pradesh,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),36636,33825,21224,3422,597,5019,100723
Uttarakhand,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1882,558,247,901,405,58,4051
West Bengal,2009,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),5165,4280,3454,2940,6207,1712,23758
Andaman & Nicobar Islands,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38,32,60,14,8,13,165
Andhra Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38652,21040,5992,29616,13654,1411,110365
Arunachal Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),317,238,23,212,14,10,814
Assam,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4752,3699,2141,2571,1115,740,15018
Bihar,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),12966,16475,13266,3461,1667,4898,52733
Chandigarh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),457,400,412,308,250,38,1865
Chhattisgarh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8631,5852,2612,7983,7928,1016,34022
Dadra & Nagar Haveli,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),40,29,25,19,13,5,131
Daman & Diu,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),42,29,36,7,6,9,129
Delhi,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6627,6633,2401,2075,1163,742,19641
Goa,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),763,249,65,243,100,6,1426
Gujarat,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),17871,11642,6233,10686,7913,882,55227
Haryana,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11895,8056,2965,6219,3200,271,32606
Himachal Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1832,1244,755,838,477,169,5315
Jammu & Kashmir,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2208,1969,1348,1650,1799,654,9628
Jharkhand,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8803,7405,4610,3880,121,1767,26586
Karnataka,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23415,13648,5301,15028,16024,1068,74484
Kerala,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),31681,16928,3988,23948,12856,340,89741
Lakshadweep,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),0,,,,,,0
Madhya Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),34814,23939,10942,36683,21147,4377,131902
Maharashtra,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),26122,28105,17955,7051,2669,7099,89001
Manipur,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2,7,1,6,29,9,54
Meghalaya,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),121,179,117,39,30,6,492
Mizoram,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),420,1019,90,471,277,3,2280
Nagaland,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),188,94,13,208,187,4,694
Odisha,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11649,9150,4299,5558,1600,1246,33502
Puducherry,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1405,531,232,1773,1135,15,5091
Punjab,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8639,4920,1657,3476,1669,312,20673
Rajasthan,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),19605,15169,7167,9415,3907,1608,56871
Sikkim,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),126,8,,42,12,,188
Tamil Nadu,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),31670,17929,6337,35894,27894,854,120578
Tripura,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),969,467,94,512,422,14,2478
Uttar Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),36712,52137,21241,3389,599,4923,119001
Uttarakhand,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1932,955,298,1158,326,52,4721
West Bengal,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),3789,4029,3771,3107,5925,2988,23609
