area_name,year,group_name,sub_group_name,police_injured_by_criminals,police_injured_by_riotous_mobs,police_injured_in_accidents,police_injured_in_dacoity_operationsother_raids,police_injured_in_terroristsextremists_operations,police_injured_on_border_duties,police_injured_total_policemen,police_killed_by_criminals,police_killed_by_riotous_mobs,police_killed_in_accidents,police_killed_in_dacoity_operationsother_raids,police_killed_in_terroristsextremists_operations,police_killed_on_border_duties,police_killed_total_policemen
Odisha,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,1,1,4,0,0,8,0,0,0,0,0,0,0
Puducherry,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,1,0,4,0,0,0,5
Rajasthan,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,3,2,0,0,0,7,0,0,1,0,0,0,1
Sikkim,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Uttar Pradesh,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Uttarakhand,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,4,12,7,7,0,0,30,0,0,1,0,0,0,1
Andaman & Nicobar Islands,2002,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,1,0,0,1,0,2,0,0,0,0,0,0,0
