area_name,year,aca01_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,aca02_no_of_persons_arrested_during_the_year,aca04_no_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,aca05_no_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,aca06_no_of_persons_under_trial_at_the_beginning_of_the_year,aca07_total_no_of_persons_under_trial_during_the_year,aca08_no_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,aca09_no_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,aca10_no_of_persons_in_whose_cases_trials_were_completed_during_the_year,aca11_no_of_persons_convicted_during_the_year,aca12_no_of_persons_acquitted_during_the_year,aca13_percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,aca14_no_of_persons_involved_in_the_cases_reported_for_regular_departmental_action_during_the_year,aca15_no_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,aca16_no_of_persons_punished_departmentally_during_the_year,aca161_no_of_persons_dismissed_from_service_during_the_year,aca162_no_of_persons_removed_from_service_during_the_year,aca163_no_of_persons_awarded_other_major_punishments_during_the_year,aca164_no_of_persons_awarded_minor_punishments_during_the_year,aca171_no_of_group_a_officers_out_of_above,aca172_no_of_group_b_officers_out_of_above,aca19_no_of_private_persons_involved_during_the_year
Goa,2001,8.0000,14.0000,17.0000,4.0000,24.0000,28.0000,0.0000,27.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,9.0000
Uttar Pradesh,2003,37.0000,14.0000,214.0000,62.0000,306.0000,368.0000,0.0000,366.0000,12.0000,2.0000,10.0000,0.0000,9.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000
Nagaland,2007,14.0000,14.0000,14.0000,4.0000,10.0000,14.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,4.0000,1.0000,1.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000,1.0000
Jharkhand,2004,13.0000,13.0000,0.0000,100.0000,175.0000,281.0000,0.0000,1315.0000,1.0000,1.0000,0.0000,0.0000,13.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Chandigarh,2009,62.0000,13.0000,23.0000,52.0000,95.0000,147.0000,0.0000,133.0000,14.0000,6.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000
Puducherry,2005,12.0000,12.0000,12.0000,12.0000,12.0000,24.0000,0.0000,24.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
Sikkim,2009,88.0000,12.0000,77.0000,13.0000,36.0000,49.0000,0.0000,49.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2.0000,8.0000
Chandigarh,2010,23.0000,12.0000,23.0000,12.0000,133.0000,145.0000,0.0000,153.0000,13.0000,8.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000
Uttarakhand,2004,7.0000,11.0000,14.0000,4.0000,10.0000,14.0000,0.0000,13.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Uttarakhand,2006,19.0000,11.0000,27.0000,3.0000,15.0000,18.0000,0.0000,18.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000
Mizoram,2008,6.0000,11.0000,14.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Puducherry,2004,7.0000,10.0000,12.0000,5.0000,9.0000,14.0000,0.0000,13.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Nagaland,2010,68.0000,10.0000,52.0000,16.0000,17.0000,33.0000,22.0000,10.0000,0.0000,1.0000,0.0000,0.0000,0.0000,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Chandigarh,2005,41.0000,9.0000,46.0000,4.0000,74.0000,78.0000,0.0000,77.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000
Puducherry,2009,13.0000,9.0000,21.0000,1.0000,64.0000,65.0000,1.0000,62.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Manipur,2005,0.0000,8.0000,0.0000,8.0000,27.0000,35.0000,0.0000,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,3.0000,6.0000
Goa,2010,3.0000,8.0000,11.0000,0.0000,23.0000,23.0000,0.0000,22.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Uttarakhand,2002,5.0000,7.0000,6.0000,5.0000,8.0000,13.0000,1.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
Uttarakhand,2005,14.0000,7.0000,19.0000,2.0000,13.0000,15.0000,0.0000,15.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Kerala,2007,0.0000,7.0000,0.0000,396.0000,1380.0000,1776.0000,27.0000,1651.0000,98.0000,62.0000,36.0000,0.0000,16.0000,31.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,39.0000,141.0000
Chandigarh,2008,67.0000,7.0000,62.0000,12.0000,87.0000,99.0000,0.0000,95.0000,4.0000,3.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Manipur,2001,4.0000,6.0000,3.0000,2.0000,16.0000,18.0000,0.0000,18.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000
Chandigarh,2002,35.0000,6.0000,37.0000,4.0000,71.0000,75.0000,0.0000,70.0000,5.0000,1.0000,4.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,0.0000
Puducherry,2003,5.0000,6.0000,7.0000,4.0000,7.0000,11.0000,0.0000,9.0000,2.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Chandigarh,2004,37.0000,6.0000,41.0000,1.0000,74.0000,75.0000,0.0000,74.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Andaman & Nicobar Islands,2006,7.0000,6.0000,8.0000,5.0000,7.0000,12.0000,0.0000,12.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Puducherry,2010,9.0000,6.0000,15.0000,3.0000,62.0000,65.0000,1.0000,61.0000,3.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Puducherry,2001,4.0000,5.0000,8.0000,1.0000,7.0000,8.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,6.0000
Assam,2002,51.0000,5.0000,49.0000,2.0000,51.0000,53.0000,0.0000,53.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,0.0000
