state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
Andhra Pradesh,Arson,411,820,13,404,814,1878,2692,87,1815,790,63,727
Arunachal Pradesh,Arson,9,17,3,12,11,124,135,0,135,0,0,0
Assam,Arson,1214,771,405,1205,375,1674,2049,0,1795,254,29,225
Bihar,Arson,807,1342,89,653,1407,5821,7228,188,6033,1007,100,907
Chhattisgarh,Arson,0,252,0,0,252,1036,1288,17,979,292,49,243
Goa,Arson,39,25,5,37,22,197,219,0,129,90,2,88
Gujarat,Arson,55,663,0,172,546,9654,10200,28,9755,417,14,403
Haryana,Arson,22,209,0,14,217,1427,1644,0,1446,198,25,173
Himachal Pradesh,Arson,19,96,0,9,106,698,804,5,734,65,1,64
Jammu & Kashmir,Arson,7,239,0,7,239,2107,2346,7,2155,184,12,172
Jharkhand,Arson,178,202,2,162,216,294,510,1,339,170,36,134
Karnataka,Arson,41,359,4,52,344,824,1168,9,889,270,25,245
Kerala,Arson,196,372,0,236,332,1648,1980,6,1747,227,10,217
Madhya Pradesh,Arson,24,961,0,13,972,4873,5845,103,4650,1092,285,807
Maharashtra,Arson,639,1572,22,705,1484,15807,17291,87,15857,1347,26,1321
Manipur,Arson,20,3,0,23,0,4,4,0,3,1,0,1
Meghalaya,Arson,72,155,58,80,89,146,235,0,233,2,1,1
Mizoram,Arson,0,18,0,9,9,18,27,0,12,15,13,2
Nagaland,Arson,2,8,2,7,1,3,4,0,2,2,1,1
Odisha,Arson,74,514,7,70,511,3372,3883,0,3483,400,37,363
Punjab,Arson,147,93,0,177,63,366,429,0,349,80,26,54
Rajasthan,Arson,8,579,0,8,579,4292,4871,43,4317,511,225,286
Sikkim,Arson,4,19,0,5,18,3,21,0,5,16,5,11
Tamil Nadu,Arson,663,791,48,725,681,1666,2347,1,1907,439,77,362
Tripura,Arson,3,84,8,12,67,36,103,0,77,26,2,24
Uttar Pradesh,Arson,42,967,270,288,451,3322,3773,7,3290,476,263,213
Uttarakhand,Arson,0,9,0,1,8,81,89,0,61,28,15,13
West Bengal,Arson,303,501,39,303,462,1810,2272,0,2159,113,2,111
Total (State),Arson,4999,11641,975,5389,10276,63181,73457,589,64356,8512,1344,7168
A&N Islands,Arson,9,1,0,5,5,59,64,0,59,5,0,5
Chandigarh,Arson,6,4,0,4,6,21,27,0,22,5,0,5
D&N Haveli,Arson,2,0,0,0,2,18,20,0,18,2,0,2
Daman & Diu,Arson,0,0,0,0,0,14,14,0,14,0,0,0
Delhi UT,Arson,36,44,0,44,36,130,166,0,157,9,6,3
Lakshadweep,Arson,8,0,0,8,0,0,0,0,0,0,0,0
Puducherry,Arson,34,9,6,11,26,23,49,0,44,5,1,4
Total (UTs),Arson,95,58,6,72,75,265,340,0,314,26,7,19
Total (All-India),Arson,5094,11699,981,5461,10351,63446,73797,589,64670,8538,1351,7187
Andhra Pradesh,Assault on Women wih intent to outrage her Modesty,1471,6806,44,1959,6274,8192,14466,707,10054,3705,387,3318
Arunachal Pradesh,Assault on Women wih intent to outrage her Modesty,53,81,34,37,63,478,541,2,522,17,8,9
Assam,Assault on Women wih intent to outrage her Modesty,1497,2538,943,1273,1819,2753,4572,0,3456,1116,58,1058
Bihar,Assault on Women wih intent to outrage her Modesty,189,509,10,163,525,3489,4014,79,3363,572,81,491
Chhattisgarh,Assault on Women wih intent to outrage her Modesty,73,2551,0,132,2492,8609,11101,274,8452,2375,811,1564
Goa,Assault on Women wih intent to outrage her Modesty,31,170,2,90,109,120,229,1,200,28,3,25
Gujarat,Assault on Women wih intent to outrage her Modesty,78,1756,0,149,1685,10673,12358,13,11565,780,38,742
Haryana,Assault on Women wih intent to outrage her Modesty,30,1785,0,51,1764,2402,4166,0,3271,895,243,652
Himachal Pradesh,Assault on Women wih intent to outrage her Modesty,35,565,1,61,538,1995,2533,41,2243,249,60,189
Jammu & Kashmir,Assault on Women wih intent to outrage her Modesty,10,2812,0,12,2810,12386,15196,701,11689,2806,150,2656
Jharkhand,Assault on Women wih intent to outrage her Modesty,109,552,0,165,496,721,1217,3,842,372,119,253
Karnataka,Assault on Women wih intent to outrage her Modesty,608,5909,110,905,5502,8350,13852,389,10204,3259,125,3134
Kerala,Assault on Women wih intent to outrage her Modesty,509,4406,0,547,4368,16466,20834,114,18662,2058,307,1751
Madhya Pradesh,Assault on Women wih intent to outrage her Modesty,34,9699,0,60,9673,28080,37753,3291,29253,5209,1894,3315
Maharashtra,Assault on Women wih intent to outrage her Modesty,1475,10084,22,3231,8306,35042,43348,630,39520,3198,359,2839
Manipur,Assault on Women wih intent to outrage her Modesty,50,51,35,60,6,17,23,0,23,0,0,0
Meghalaya,Assault on Women wih intent to outrage her Modesty,32,116,51,26,71,244,315,2,304,9,4,5
Mizoram,Assault on Women wih intent to outrage her Modesty,9,90,4,22,73,80,153,0,71,82,59,23
Nagaland,Assault on Women wih intent to outrage her Modesty,4,14,11,6,1,13,14,0,6,8,7,1
Odisha,Assault on Women wih intent to outrage her Modesty,438,6117,1,435,6119,28413,34532,0,31674,2858,204,2654
Punjab,Assault on Women wih intent to outrage her Modesty,443,1132,54,796,725,1222,1947,0,1525,422,173,249
