state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
ANDHRA PRADESH,TOTAL COGNIZABLE SLL CRIMES,71549,72104,31,13301,130321,40380,170701,2621,98081,69999,52001,17998
ARUNACHAL PRADESH,TOTAL COGNIZABLE SLL CRIMES,108,90,24,114,60,922,982,0,961,21,7,14
ASSAM,TOTAL COGNIZABLE SLL CRIMES,7030,1855,1021,6764,1100,12963,14063,0,11981,2082,152,1930
BIHAR,TOTAL COGNIZABLE SLL CRIMES,13746,23539,332,14456,22497,88503,111000,529,99324,11147,2551,8596
CHHATTISGARH,TOTAL COGNIZABLE SLL CRIMES,1567,267802,0,1433,267936,46973,314909,4369,47469,263071,257318,5753
GOA,TOTAL COGNIZABLE SLL CRIMES,298,2639,23,613,2301,6316,8617,0,5805,2812,1633,1179
GUJARAT,TOTAL COGNIZABLE SLL CRIMES,19994,278270,0,23372,274892,1799449,2074341,1120,1878562,194659,122276,72383
HARYANA,TOTAL COGNIZABLE SLL CRIMES,2287,37504,0,1592,38199,90775,128974,0,73831,55143,41663,13480
HIMACHAL PRADESH,TOTAL COGNIZABLE SLL CRIMES,1350,4780,22,1090,5018,27426,32444,34,27889,4521,1799,2722
JAMMU & KASHMIR,TOTAL COGNIZABLE SLL CRIMES,83,3009,0,92,3000,24927,27927,17,24043,3867,1821,2046
JHARKHAND,TOTAL COGNIZABLE SLL CRIMES,3334,7911,0,3831,7414,13642,21056,146,14443,6467,2029,4438
KARNATAKA,TOTAL COGNIZABLE SLL CRIMES,5597,49367,1264,4612,49088,85346,134434,117,87916,46401,27462,18939
KERALA,TOTAL COGNIZABLE SLL CRIMES,11458,386864,266,11363,386693,404935,791628,3872,529150,258606,243494,15112
MADHYA PRADESH,TOTAL COGNIZABLE SLL CRIMES,316,146524,1,192,146647,104322,250969,871,109416,140682,125252,15430
MAHARASHTRA,TOTAL COGNIZABLE SLL CRIMES,63973,180896,118,66371,178380,1624091,1802471,39159,1601288,162024,25570,136454
MANIPUR,TOTAL COGNIZABLE SLL CRIMES,2204,1613,1267,2170,380,1800,2180,16,2094,70,35,35
MEGHALAYA,TOTAL COGNIZABLE SLL CRIMES,448,421,25,498,346,1208,1554,8,1276,270,263,7
MIZORAM,TOTAL COGNIZABLE SLL CRIMES,46,858,2,143,759,918,1677,0,393,1284,1258,26
NAGALAND,TOTAL COGNIZABLE SLL CRIMES,216,476,76,150,466,272,738,6,229,503,410,93
ODISHA,TOTAL COGNIZABLE SLL CRIMES,1067,21014,0,1434,20647,106955,127602,0,115409,12193,2008,10185
PUNJAB,TOTAL COGNIZABLE SLL CRIMES,11273,28462,167,17082,22486,65297,87783,5,67361,20417,15255,5162
RAJASTHAN,TOTAL COGNIZABLE SLL CRIMES,262,72310,3,282,72287,162505,234792,339,167718,66735,62994,3741
SIKKIM,TOTAL COGNIZABLE SLL CRIMES,73,217,0,0,290,80,370,89,163,118,57,61
TAMIL NADU,TOTAL COGNIZABLE SLL CRIMES,68995,703425,234372,90601,447447,113712,561159,17170,130106,413883,345524,68359
TRIPURA,TOTAL COGNIZABLE SLL CRIMES,106,331,31,50,356,384,740,0,104,636,75,561
UTTAR PRADESH,TOTAL COGNIZABLE SLL CRIMES,17956,1701298,27437,22099,1669718,1185645,2855363,205,1445026,1410132,1350923,59209
UTTARAKHAND,TOTAL COGNIZABLE SLL CRIMES,366,126525,115,519,126257,34903,161160,23,29120,132017,130977,1040
WEST BENGAL,TOTAL COGNIZABLE SLL CRIMES,13915,15379,988,15277,13029,72448,85477,173,80338,4966,1610,3356
TOTAL (STATES),TOTAL COGNIZABLE SLL CRIMES,319617,4135483,267585,299501,3888014,6117097,10005111,70889,6649496,3284726,2816417,468309
A & N ISLANDS,TOTAL COGNIZABLE SLL CRIMES,659,2801,0,325,3135,15572,18707,0,15487,3220,3107,113
CHANDIGARH,TOTAL COGNIZABLE SLL CRIMES,537,1728,26,427,1812,1494,3306,0,1692,1614,1534,80
D & N HAVELI,TOTAL COGNIZABLE SLL CRIMES,24,143,0,32,135,305,440,0,391,49,5,44
DAMAN & DIU,TOTAL COGNIZABLE SLL CRIMES,143,138,0,158,123,234,357,0,321,36,0,36
DELHI,TOTAL COGNIZABLE SLL CRIMES,6891,8206,29,6872,8196,127407,135603,0,123211,12392,8124,4268
LAKSHADWEEP,TOTAL COGNIZABLE SLL CRIMES,11,45,0,44,12,72,84,5,70,9,4,5
PUDUCHERRY,TOTAL COGNIZABLE SLL CRIMES,117,1531,0,164,1484,1321,2805,5,1198,1602,845,757
TOTAL (UTs),TOTAL COGNIZABLE SLL CRIMES,8382,14592,55,8022,14897,146405,161302,10,142370,18922,13619,5303
TOTAL (ALL-INDIA),TOTAL COGNIZABLE SLL CRIMES,327999,4150075,267640,307523,3902911,6263502,10166413,70899,6791866,3303648,2830036,473612
