state_ut,crime_head,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,persons_arrested_during_the_year,persons_released_or_freed_by_police_or_magistrate_before_trial_for_want_of_evidence_or_any_other_reason,persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,persons_in_whose_cases_charge_sheets_were_laid_during_the_year,persons_under_trial_at_the_beginning_of_the_year,total_number_of_persons_under_trial_during_the_year,persons_against_whom_cases_were_compounded_or_withdrawn,persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,persons_in_whose_cases_trials_were_completed_during_the_year,persons_convicted,persons_acquitted
TOTAL (ALL-INDIA),"NARCOTIC DRUGS and PSYCHOTROPIC SUBSTANCES ACT, 1985",11563,37055,175,15994,32449,142192,174641,184,141490,32967,17868,15099
ANDHRA PRADESH,GAMBLING ACT,1392,42117,0,1398,42111,4786,46897,4,5911,40982,39563,1419
ARUNACHAL PRADESH,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,GAMBLING ACT,197,213,91,211,108,716,824,0,644,180,11,169
BIHAR,GAMBLING ACT,532,664,8,487,701,2412,3113,0,2748,365,75,290
CHHATTISGARH,GAMBLING ACT,1084,28729,0,1042,28771,18364,47135,3889,18512,24734,24408,326
GOA,GAMBLING ACT,91,727,0,216,602,4739,5341,0,4259,1082,2,1080
GUJARAT,GAMBLING ACT,2196,39850,0,1886,40160,254894,295054,65,271110,23879,15578,8301
HARYANA,GAMBLING ACT,350,7768,0,231,7887,17123,25010,0,13029,11981,10138,1843
HIMACHAL PRADESH,GAMBLING ACT,105,637,0,67,675,3924,4599,0,3918,681,281,400
JAMMU & KASHMIR,GAMBLING ACT,14,683,0,14,683,1222,1905,0,1429,476,439,37
JHARKHAND,GAMBLING ACT,232,549,0,178,603,1536,2139,3,1719,417,107,310
KARNATAKA,GAMBLING ACT,2044,31328,803,1310,31259,31341,62600,4,32206,30390,23756,6634
KERALA,GAMBLING ACT,1036,20077,0,877,20236,25896,46132,62,30012,16058,15327,731
MADHYA PRADESH,GAMBLING ACT,52,65047,0,36,65063,31351,96414,31,30988,65395,62421,2974
MAHARASHTRA,GAMBLING ACT,14068,45970,16,16250,43772,353500,397272,8135,355040,34097,4647,29450
MANIPUR,GAMBLING ACT,0,22,0,0,22,2,24,0,24,0,0,0
MEGHALAYA,GAMBLING ACT,10,20,4,13,13,239,252,2,250,0,0,0
MIZORAM,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,GAMBLING ACT,0,2,0,0,2,0,2,0,0,2,2,0
ODISHA,GAMBLING ACT,284,3426,0,325,3385,21264,24649,0,22489,2160,1138,1022
PUNJAB,GAMBLING ACT,3250,4492,26,3524,4192,8003,12195,0,8500,3695,3144,551
RAJASTHAN,GAMBLING ACT,2,29178,0,0,29180,33915,63095,6,33206,29883,29644,239
SIKKIM,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,GAMBLING ACT,1033,27694,0,1601,27126,3364,30490,0,4645,25845,25180,665
TRIPURA,GAMBLING ACT,6,26,4,9,19,33,52,0,7,45,2,43
UTTAR PRADESH,GAMBLING ACT,262,24318,25,251,24304,60095,84399,0,63848,20551,18339,2212
UTTARAKHAND,GAMBLING ACT,11,674,0,8,677,3956,4633,0,3885,748,645,103
WEST BENGAL,GAMBLING ACT,1501,1238,62,1571,1106,6878,7984,16,7630,338,62,276
TOTAL (STATES),GAMBLING ACT,29752,375449,1039,31505,372657,889553,1262210,12217,916009,333984,274909,59075
A & N ISLANDS,GAMBLING ACT,0,501,0,0,501,146,647,0,274,373,373,0
CHANDIGARH,GAMBLING ACT,101,471,11,59,502,270,772,0,264,508,485,23
D & N HAVELI,GAMBLING ACT,2,115,0,14,103,64,167,0,143,24,0,24
DAMAN & DIU,GAMBLING ACT,86,109,0,104,91,93,184,0,156,28,0,28
DELHI,GAMBLING ACT,652,1878,0,491,2039,11316,13355,0,11892,1463,1333,130
LAKSHADWEEP,GAMBLING ACT,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,GAMBLING ACT,0,166,0,0,166,61,227,0,33,194,187,7
TOTAL (UTs),GAMBLING ACT,841,3240,11,668,3402,11950,15352,0,12762,2590,2378,212
TOTAL (ALL-INDIA),GAMBLING ACT,30593,378689,1050,32173,376059,901503,1277562,12217,928771,336574,277287,59287
ANDHRA PRADESH,EXCISE ACT,1585,6781,3,1985,6378,5243,11621,1767,5032,4822,1652,3170
ARUNACHAL PRADESH,EXCISE ACT,0,0,0,0,0,7,7,0,7,0,0,0
ASSAM,EXCISE ACT,29,29,2,36,20,303,323,0,238,85,12,73
BIHAR,EXCISE ACT,1474,3791,6,1776,3483,13617,17100,0,15128,1972,459,1513
CHHATTISGARH,EXCISE ACT,278,12153,0,236,12195,14156,26351,0,15674,10677,7945,2732
GOA,EXCISE ACT,0,0,0,0,0,33,33,0,33,0,0,0
GUJARAT,EXCISE ACT,0,0,0,0,0,31,31,0,26,5,0,5
HARYANA,EXCISE ACT,543,18727,0,527,18743,40979,59722,0,26899,32823,27149,5674
HIMACHAL PRADESH,EXCISE ACT,672,2215,0,588,2299,15396,17695,12,15065,2618,1234,1384
JAMMU & KASHMIR,EXCISE ACT,0,580,0,2,578,1687,2265,0,1783,482,241,241
JHARKHAND,EXCISE ACT,436,498,0,300,634,909,1543,11,988,544,138,406
KARNATAKA,EXCISE ACT,823,3132,36,427,3492,13929,17421,5,13217,4199,634,3565
KERALA,EXCISE ACT,0,0,0,0,0,0,0,0,0,0,0,0
MADHYA PRADESH,EXCISE ACT,159,43793,0,69,43883,14499,58382,102,13861,44419,42532,1887
MAHARASHTRA,EXCISE ACT,0,0,0,0,0,20,20,0,20,0,0,0
