area_name,year,group_name,sub_group_name,loss_of_property_1_10_crores,loss_of_property_10_25_crores,loss_of_property_25_50_crores,loss_of_property_50_100_crores,loss_of_property_above_100_crores
West Bengal,2002,Serious Fraud - Cheating,2. Cheating,0,1,0,0,1
Andhra Pradesh,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Arunachal Pradesh,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Bihar,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Chandigarh,2003,Serious Fraud - Cheating,2. Cheating,2,0,1,0,0
Chhattisgarh,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Dadra & Nagar Haveli,2003,Serious Fraud - Cheating,2. Cheating,1,,,,
Daman & Diu,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Delhi,2003,Serious Fraud - Cheating,2. Cheating,26,0,0,0,0
Goa,2003,Serious Fraud - Cheating,2. Cheating,6,,,,
Gujarat,2003,Serious Fraud - Cheating,2. Cheating,10,0,0,0,0
Haryana,2003,Serious Fraud - Cheating,2. Cheating,0,,0,0,
Himachal Pradesh,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Jammu & Kashmir,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Jharkhand,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Karnataka,2003,Serious Fraud - Cheating,2. Cheating,24,0,0,0,0
Maharashtra,2003,Serious Fraud - Cheating,2. Cheating,4,2,0,0,0
Meghalaya,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Nagaland,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Odisha,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Punjab,2003,Serious Fraud - Cheating,2. Cheating,0,0,0,0,0
Sikkim,2003,Serious Fraud - Cheating,2. Cheating,0,,,,
Tamil Nadu,2003,Serious Fraud - Cheating,2. Cheating,1,,,,
West Bengal,2003,Serious Fraud - Cheating,2. Cheating,3,0,0,0,0
Andhra Pradesh,2004,Serious Fraud - Cheating,2. Cheating,2,0,0,0,0
